arr_size_multiples,rand_seed,num_iterations,LLC_OCCUPANCY,Total_cycles,LLC_Filling_cycles,Thrashing_cycles,Probe_cycles
1,31988,1,20725,5061794,525397,524416,4011981
1,17820,2,25795,5062957,525397,829344,3708216
1,18921,3,27849,5162465,525397,1064155,3572913
1,30313,4,28895,5316952,525397,1285527,3506028
1,28165,5,29696,5459605,525397,1492403,3441805
1,17514,6,30111,5668876,525435,1707820,3435621
1,30642,7,30568,5845565,525397,1916628,3403540
1,31638,8,30853,5994300,525397,2123320,3345583
1,2703,9,30969,6218163,525435,2326793,3365935
1,2697,10,31161,6375315,525397,2531283,3318635
1,10773,11,31329,6550581,525397,2724527,3300657
1,27503,12,31420,6732888,525435,2915714,3291739
1,11468,13,31530,6943577,525397,3107881,3310299
1,21042,14,31631,7118836,525435,3296962,3296439
1,4525,15,31705,7272488,525397,3483451,3263640
1,4329,16,31765,7449743,525397,3675646,3248700
1,18819,17,31822,7626725,525397,3856279,3245049
1,2519,18,31862,7812057,525397,4045876,3240784
1,29129,19,31892,7983220,525397,4219978,3237845
1,14790,20,31964,8146215,525397,4393022,3227796
1,10541,21,31994,8347290,525397,4565267,3256626
1,4497,22,32010,8471793,525397,4724543,3221853
1,21139,23,32068,8643452,525435,4903285,3214732
1,290,24,32107,8796983,525435,5035445,3236103
1,14685,25,32109,8954594,525397,5221607,3207590
1,1871,26,32145,9106266,525397,5376659,3204210
1,29394,27,32175,9279743,525435,5553922,3200386
1,22373,28,32192,9442885,525397,5717669,3199819
1,24768,29,32210,9591450,525435,5868923,3197092
1,29290,30,32241,9732781,525397,6014791,3192593
1,29631,31,32244,9907400,525435,6190967,3190998
1,19943,32,32278,10031589,525397,6319739,3186453
1,2983,33,32290,10213651,525397,6469059,3219195
1,8000,34,32308,10335868,525397,6627322,3183149
1,29242,35,32303,10500074,525435,6791454,3183185
1,14280,36,32334,10667277,525435,6963372,3178470
1,16778,37,32323,10818005,525435,7112902,3179668
1,20594,38,32327,10962829,525397,7256461,3180971
1,30064,39,32349,11080207,525459,7362156,3192592
1,9398,40,32368,11253306,525397,7521231,3206678
1,32297,41,32362,11370736,525397,7669733,3175606
1,23451,42,32394,11451528,525435,7755051,3171042
1,2390,43,32414,11596268,525397,7896160,3174711
1,8605,44,32387,11790643,525535,8061300,3203808
1,11118,45,32415,11918172,525435,8225931,3166806
1,3366,46,32419,12056848,525459,8334266,3197123
1,1615,47,32425,12181603,525435,8462327,3193841
1,25980,48,32422,12355342,525421,8634733,3195188
1,18130,49,32440,12437774,525397,8748223,3164154
1,14954,50,32445,12607218,525397,8885997,3195824
1,10183,51,32467,12629940,525397,8913031,3191512
1,18106,52,32472,12869662,525435,9156397,3187830
1,16108,53,32465,12978218,525435,9268661,3184122
1,20748,54,32445,13144180,525397,9455476,3163307
1,14814,55,32486,13185045,525397,9501824,3157824
1,14887,56,32478,13360537,525397,9677111,3158029
1,9007,57,32480,13509809,525397,9794032,3190380
1,22730,58,32482,13601335,525397,9918868,3157070
1,6950,59,32507,13670760,525397,9991305,3154058
1,12247,60,32505,13894005,525435,10182156,3186414
1.1,18666,1,21835,5543214,525389,577080,4440745
1.1,988,2,27056,5577162,525465,932456,4119241
1.1,18532,3,29212,5727759,525427,1211373,3990959
1.1,315,4,30278,5922577,525427,1469931,3927219
1.1,11494,5,30986,6147725,525389,1715881,3906455
1.1,13241,6,31443,6349388,525389,1952332,3871667
1.1,7449,7,31746,6552620,525427,2197910,3829283
1.1,11,8,31968,6788796,525427,2429904,3833465
1.1,15140,9,32109,7000771,525427,2672535,3802809
1.1,14612,10,32293,7219625,525427,2901873,3792325
1.1,30982,11,32343,7450923,525465,3144725,3780733
1.1,8458,12,32438,7684740,525389,3375584,3783767
1.1,21761,13,32498,7915352,525389,3603489,3786474
1.1,25616,14,32554,8154173,525389,3832757,3796027
1.1,23433,15,32596,8358281,525389,4067377,3765515
1.1,12084,16,32623,8594246,525389,4302607,3766250
1.1,2794,17,32650,8824669,525389,4533123,3766157
1.1,10043,18,32681,9053075,525389,4771759,3755927
1.1,30106,19,32681,9295581,525389,5012023,3758169
1.1,31688,20,32709,9502115,525465,5220903,3755747
1.1,3610,21,32717,9749925,525389,5465451,3759085
1.1,29343,22,32714,9962876,525389,5682872,3754615
1.1,16344,23,32734,10197699,525427,5917347,3754925
1.1,2879,24,32739,10438261,525389,6157881,3754991
1.1,24081,25,32740,10676582,525427,6396042,3755113
1.1,24814,26,32740,10893313,525389,6611247,3756677
1.1,1577,27,32754,11123426,525389,6843850,3754187
1.2,6720,1,22794,6058340,525435,629436,4903469
1.2,6753,2,28152,6171741,525473,1037585,4608683
1.2,26095,3,30203,6360423,525435,1373531,4461457
1.2,26221,4,31169,6635084,525435,1677124,4432525
1.2,10819,5,31714,6881199,525397,1965895,4389907
1.2,28620,6,32132,7132320,525397,2254724,4352199
1.2,15695,7,32323,7418981,525473,2532253,4361255
1.2,8268,8,32488,7659433,525435,2807725,4326273
1.2,25796,9,32580,7929451,525397,3086455,4317599
1.2,32299,10,32621,8209417,525397,3363515,4320505
1.2,32556,11,32664,8485920,525421,3642752,4317747
1.2,4643,12,32703,8766541,525421,3902187,4338933
1.2,1212,13,32724,9027648,525435,4195036,4307177
1.2,15378,14,32736,9290833,525435,4459433,4305965
1.2,16868,15,32744,9592957,525435,4732719,4334803
1.2,11848,16,32752,9857713,525435,5006717,4325561
1.3,31164,1,23780,6577476,525391,681976,5370109
1.3,20291,2,28982,6727848,525429,1144656,5057763
1.3,14981,3,30881,7014973,525391,1540089,4949493
1.3,8519,4,31746,7331905,525391,1903519,4902995
1.3,27659,5,32199,7657075,525391,2249619,4882065
1.3,13506,6,32462,7978945,525391,2590705,4862849
1.3,15848,7,32597,8322578,525429,2933868,4863281
1.3,2686,8,32672,8665155,525467,3270907,4868781
1.3,8979,9,32713,8977835,525391,3607793,4844651
1.3,2996,10,32735,9304460,525467,3938664,4840329
1.3,11652,11,32757,9641074,525391,4274514,4841169
1.4,5221,1,24777,7086169,525389,734431,5826349
1.4,25288,2,29728,7333299,525427,1256759,5551113
1.4,21273,3,31420,7683806,525427,1707544,5450835
1.4,31536,4,32127,8074168,525389,2137206,5411573
1.4,14459,5,32462,8488747,525389,2552697,5410661
1.4,23723,6,32621,8860308,525465,2957166,5377677
1.4,22,7,32704,9261213,525389,3369395,5366429
1.4,4260,8,32737,9684181,525465,3785555,5373161
1.4,28233,9,32748,10069118,525427,4176670,5367021
1.5,5443,1,25477,7672061,525397,786734,6359930
1.5,21313,2,30360,7980973,525435,1367850,6087688
1.5,12678,3,31867,8404736,525397,1886773,5992566
1.5,24986,4,32396,8881574,525397,2383563,5972614
1.5,4157,5,32627,9341487,525473,2868750,5947264
1.5,1565,6,32689,9818812,525397,3351282,5942133
1.5,9170,7,32750,10302858,525397,3825031,5952430
1.5,4695,8,32758,10794200,525421,4318099,5950680
1.6,7453,1,26099,8187634,525465,839464,6822705
1.6,1506,2,30848,8529098,525389,1482740,6520969
1.6,3828,3,32097,9055870,525389,2065830,6464651
1.6,18987,4,32539,9606081,525459,2635565,6445057
1.6,8299,5,32678,10142863,525421,3189839,6427603
1.6,196,6,32737,10698962,525427,3750344,6423191
1.6,1258,7,32758,11262078,525421,4305354,6431303
1.7,22345,1,26826,8704350,525511,891682,7287157
1.7,31284,2,31158,9158485,525435,1595285,7037765
1.7,24297,3,32288,9738043,525435,2249423,6963185
1.7,2989,4,32604,10377886,525397,2883328,6969161
1.7,17893,5,32728,10981289,525397,3512143,6943749
1.7,24569,6,32755,11611126,525473,4145940,6939713
1.8,4800,1,27349,9251955,525467,944341,7782147
1.8,6745,2,31493,9779028,525391,1707686,7545951
1.8,29722,3,32444,10443612,525391,2426882,7491339
1.8,23316,4,32679,11122631,525429,3133177,7464025
1.8,14625,5,32747,11834599,525429,3836791,7472379
1.8,18069,6,32762,12530676,525429,4542070,7463177
1.9,15888,1,27917,9798636,525427,996922,8276287
1.9,15486,2,31765,10399647,525465,1824191,8049991
1.9,21068,3,32533,11126134,525465,2610068,7990601
1.9,9138,4,32699,11907792,525427,3387228,7995137
1.9,27158,5,32759,12696243,525427,4166487,8004329
