bit_position,bit_interval,receiver_interval,sender_interval
0,252749,252008,741
1,250317,250206,111
2,252522,251978,544
3,252498,251928,570
4,250274,250173,101
5,250277,250176,101
6,252357,251776,581
7,252485,251917,568
8,250331,250189,142
9,252082,251512,570
10,252015,251479,536
11,250284,250183,101
12,250274,250173,101
13,252166,251604,562
14,250266,250165,101
15,252182,251578,604
16,252122,251572,550
17,252158,251622,536
18,252151,251597,554
19,250286,250185,101
20,252203,251627,576
21,250282,250181,101
22,250249,250148,101
23,252171,251574,597
24,252091,251507,584
25,252181,251605,576
26,252167,251635,532
27,250285,250184,101
28,250268,250167,101
29,250257,250181,76
30,252033,251430,603
31,250227,250151,76
32,250291,250200,91
33,250257,250181,76
34,252180,251621,559
35,250260,250184,76
36,250238,250162,76
37,250258,250182,76
38,250263,250187,76
39,252148,251588,560
40,252142,251524,618
41,250276,250175,101
42,250257,250181,76
43,252166,251603,563
44,252069,251474,595
45,252157,251624,533
46,252119,251583,536
47,252130,251594,536
48,250291,250175,116
49,250274,250173,101
50,252055,251492,563
51,250282,250181,101
52,252157,251594,563
53,252146,251610,536
54,252131,251596,535
55,252162,251592,570
56,250291,250175,116
57,252038,251482,556
58,252196,251626,570
59,252171,251634,537
60,252135,251603,532
61,250274,250173,101
62,250237,250136,101
63,250244,250168,76
64,250264,250173,91
65,252164,251601,563
66,250261,250185,76
67,252210,251623,587
68,250233,250157,76
69,250256,250180,76
70,252185,251590,595
71,250237,250161,76
72,252194,251620,574
73,250257,250181,76
74,251879,251300,579
75,252045,251466,579
76,251998,251442,556
77,250271,250170,101
78,251959,251423,536
79,250263,250162,101
80,250289,250173,116
81,250257,250181,76
82,251870,251266,604
83,251783,251220,563
84,251882,251347,535
85,250271,250170,101
86,251972,251437,535
87,252419,251883,536
88,250717,250601,116
89,252307,251771,536
90,252420,251887,533
91,252310,251774,536
92,252326,251750,576
93,250700,250599,101
94,252127,251591,536
95,252236,251703,533
96,252200,251612,588
97,252264,251728,536
98,252269,251725,544
99,252201,251665,536
100,250709,250608,101
101,252225,251689,536
102,250691,250590,101
103,250695,250594,101
104,250685,250594,91
105,252305,251742,563
106,250689,250613,76
107,252246,251683,563
108,250694,250618,76
109,252161,251574,587
110,252272,251709,563
111,252288,251718,570
112,250712,250596,116
113,250709,250608,101
114,250696,250620,76
115,252275,251712,563
116,252279,251716,563
117,252205,251669,536
118,252282,251714,568
119,250685,250584,101
120,252262,251712,550
121,250718,250617,101
122,252311,251743,568
123,252156,251620,536
124,252147,251612,535
125,250659,250558,101
126,250708,250607,101
127,250269,250193,76
128,252677,252073,604
129,250251,250175,76
130,252573,251970,603
131,250257,250181,76
132,252657,252080,577
133,250260,250184,76
134,250260,250169,91
135,252500,251938,562
136,252654,252094,560
137,252352,251792,560
138,252504,251968,536
139,252495,251959,536
140,252459,251906,553
141,252465,251931,534
142,250284,250168,116
143,250238,250137,101
144,252495,251932,563
145,252359,251791,568
146,250283,250182,101
147,252483,251929,554
148,250274,250173,101
149,250285,250184,101
150,250242,250151,91
151,252351,251779,572
152,252473,251910,563
153,252468,251928,540
154,252514,251942,572
155,250280,250179,101
156,250274,250173,101
157,250257,250181,76
158,252471,251869,602
159,250214,250138,76
160,250249,250173,76
161,252510,251948,562
162,250243,250167,76
163,250259,250183,76
164,252372,251781,591
165,250257,250181,76
166,250256,250165,91
167,250217,250141,76
168,252453,251891,562
169,252542,251955,587
170,250284,250183,101
171,250246,250170,76
172,250250,250174,76
173,252327,251740,587
174,252336,251742,594
175,250258,250157,101
176,250243,250167,76
177,250257,250181,76
178,250257,250181,76
179,250248,250172,76
180,250253,250177,76
181,252315,251752,563
182,252345,251767,578
183,252329,251753,576
184,252109,251577,532
185,250283,250182,101
186,252170,251619,551
187,250298,250197,101
188,252130,251597,533
189,252005,251469,536
190,250286,250170,116
191,250238,250137,101
192,252018,251431,587
193,252049,251477,572
194,250282,250181,101
195,251967,251435,532
196,251973,251441,532
197,250271,250170,101
198,251980,251430,550
199,250273,250172,101
200,250269,250168,101
201,251958,251361,597
202,251893,251339,554
203,250282,250181,101
204,252019,251449,570
205,251972,251436,536
206,250288,250172,116
207,251693,251160,533
208,251721,251161,560
209,250285,250184,101
210,250276,250175,101
211,251858,251295,563
212,250274,250173,101
213,250252,250176,76
214,251860,251283,577
215,250213,250137,76
216,251879,251291,588
217,250258,250182,76
218,250246,250170,76
219,250258,250182,76
220,250249,250173,76
221,251910,251315,595
222,250266,250175,91
223,250207,250131,76
224,250257,250181,76
225,251736,251176,560
226,251858,251295,563
227,251816,251280,536
228,251860,251284,576
229,250266,250165,101
230,250295,250179,116
231,251808,251246,562
232,250275,250174,101
233,251891,251296,595
234,251833,251301,532
235,251834,251280,554
236,251634,251082,552
237,251876,251308,568
238,251836,251290,546
239,250229,250128,101
240,251812,251276,536
241,251710,251174,536
242,250298,250197,101
243,250285,250184,101
244,251681,251118,563
245,251666,251130,536
246,250286,250170,116
247,250233,250132,101
248,250255,250179,76
249,251714,251117,597
250,250257,250181,76
251,250257,250181,76
252,251684,251122,562
253,251693,251130,563
254,250287,250186,101
255,250246,250170,76
256,252663,252086,577
257,250261,250185,76
258,250245,250169,76
259,250257,250181,76
260,252464,251854,610
261,252656,252075,581
262,252570,252038,532
263,252608,252075,533
264,252623,252087,536
265,250285,250184,101
266,250268,250167,101
267,252651,252088,563
268,252510,251933,577
269,252502,251926,576
270,252416,251884,532
271,252451,251892,559
272,252376,251822,554
273,252476,251906,570
274,250279,250178,101
275,252479,251944,535
276,250297,250181,116
277,252441,251905,536
278,252449,251913,536
279,250249,250148,101
280,252529,251957,572
281,252337,251785,552
282,250265,250164,101
283,252505,251933,572
284,250296,250180,116
285,252371,251819,552
286,250232,250131,101
287,250260,250159,101
288,252389,251826,563
289,252347,251815,532
290,250274,250173,101
291,250286,250185,101
292,250286,250195,91
293,252319,251760,559
294,252449,251870,579
295,252482,251912,570
296,250283,250182,101
297,252452,251916,536
298,250298,250197,101
299,250285,250184,101
300,250261,250170,91
301,250257,250181,76
302,252313,251726,587
303,252217,251655,562
304,250328,250227,101
305,252368,251773,595
306,252305,251769,536
307,250282,250181,101
308,252351,251779,572
309,250283,250182,101
310,252265,251697,568
311,252152,251619,533
312,252175,251623,552
313,252149,251616,533
314,252067,251491,576
315,252092,251532,560
316,252165,251615,550
317,250286,250185,101
318,252102,251566,536
319,250271,250170,101
320,252062,251526,536
321,252133,251597,536
322,250275,250174,101
323,250282,250181,101
324,252224,251614,610
325,252066,251512,554
326,250224,250123,101
327,250271,250170,101
328,252167,251604,563
329,252064,251494,570
330,250278,250177,101
331,252048,251487,561
332,250297,250181,116
333,252185,251615,570
334,250203,250102,101
335,250280,250179,101
336,250257,250181,76
337,252226,251629,597
338,252190,251603,587
339,252064,251504,560
340,250281,250165,116
341,250298,250197,101
342,252127,251564,563
343,252051,251515,536
344,250282,250181,101
345,252152,251595,557
346,252149,251589,560
347,251899,251354,545
348,251866,251321,545
349,251898,251322,576
350,251935,251399,536
351,251879,251334,545
352,250280,250179,101
353,250298,250197,101
354,252046,251449,597
355,252033,251461,572
356,252006,251459,547
357,250282,250181,101
358,250230,250129,101
359,250273,250197,76
360,250251,250175,76
361,252061,251464,597
362,252024,251447,577
363,251976,251444,532
364,250299,250183,116
365,252035,251499,536
366,251935,251399,536
367,252007,251448,559
368,251984,251430,554
369,250283,250182,101
370,250274,250173,101
371,252029,251456,573
372,252026,251477,549
373,250276,250175,101
374,251964,251407,557
375,250271,250170,101
376,251981,251444,537
377,252014,251454,560
378,250274,250173,101
379,250282,250181,101
380,251947,251328,619
381,250289,250188,101
382,252557,251962,595
383,252389,251813,576
384,250287,250186,101
385,250282,250181,101
386,250253,250162,91
387,250260,250184,76
388,250257,250181,76
389,250213,250137,76
390,252513,251950,563
391,250249,250173,76
392,250247,250171,76
393,250257,250181,76
394,250259,250168,91
395,250261,250185,76
396,250295,250219,76
397,252465,251861,604
398,252484,251922,562
399,250271,250170,101
400,252358,251798,560
401,252456,251912,544
402,252269,251703,566
403,250285,250184,101
404,250274,250173,101
405,252468,251909,559
406,252304,251750,554
407,252310,251775,535
408,252320,251750,570
409,250280,250179,101
410,250289,250173,116
411,252349,251786,563
412,250271,250170,101
413,250214,250138,76
414,250249,250173,76
415,252353,251782,571
416,250248,250172,76
417,250253,250177,76
418,252354,251779,575
419,252328,251757,571
420,252114,251578,536
421,252114,251578,536
422,252126,251570,556
423,251975,251439,536
424,251965,251432,533
425,252040,251464,576
426,250274,250158,116
427,252001,251465,536
428,251991,251459,532
429,250242,250141,101
430,250270,250169,101
431,252023,251460,563
432,250255,250154,101
433,252005,251445,560
434,252042,251452,590
435,252004,251471,533
436,251890,251330,560
437,251958,251422,536
438,250268,250167,101
439,250283,250182,101
440,250246,250170,76
441,250252,250176,76
442,252013,251439,574
443,252032,251470,562
444,250282,250181,101
445,250231,250155,76
446,251994,251431,563
447,252034,251453,581
448,250271,250170,101
449,250257,250181,76
450,251922,251310,612
451,250275,250199,76
452,252024,251462,562
453,252010,251413,597
454,251898,251341,557
455,251997,251464,533
456,251969,251437,532
457,250322,250221,101
458,251904,251354,550
459,252000,251440,560
460,250283,250182,101
461,251966,251405,561
462,250274,250173,101
463,251985,251449,536
464,250269,250168,101
465,250282,250181,101
466,250264,250173,91
467,252048,251453,595
468,251914,251351,563
469,251977,251405,572
470,251891,251355,536
471,250285,250184,101
472,251992,251456,536
473,251993,251457,536
474,251900,251349,551
475,250277,250176,101
476,252018,251446,572
477,250236,250135,101
478,251925,251353,572
479,251988,251452,536
480,250260,250159,101
481,252030,251458,572
482,252068,251478,590
483,251908,251340,568
484,252016,251446,570
485,251948,251412,536
486,250274,250173,101
487,250266,250165,101
488,251684,251121,563
489,251831,251295,536
490,250289,250173,116
491,251751,251197,554
492,250284,250183,101
493,251750,251218,532
494,251853,251318,535
495,251823,251290,533
496,250271,250170,101
497,251863,251327,536
498,250283,250167,116
499,250266,250165,101
500,250273,250197,76
501,250204,250128,76
502,251892,251304,588
503,251855,251296,559
504,250271,250170,101
505,250259,250183,76
506,251877,251283,594
507,250258,250182,76
508,252636,252073,563
509,250263,250187,76
510,252554,251992,562
511,250210,250173,37
