bit_position,bit_interval,receiver_interval,sender_interval
0,252884,252143,741
1,250317,250206,111
2,250279,250178,101
3,252596,252001,595
4,250274,250173,101
5,252484,251921,563
6,250250,250149,101
7,250218,250142,76
8,250306,250189,117
9,250258,250182,76
10,252486,251923,563
11,250259,250183,76
12,252485,251908,577
13,252400,251796,604
14,250266,250165,101
15,250225,250149,76
16,250264,250173,91
17,252354,251765,589
18,250248,250172,76
19,252345,251782,563
20,250247,250171,76
21,252285,251681,604
22,252186,251599,587
23,250250,250149,101
24,252076,251501,575
25,250282,250181,101
26,252220,251657,563
27,252161,251625,536
28,250268,250167,101
29,252157,251621,536
30,250248,250147,101
31,250252,250151,101
32,252198,251620,578
33,250282,250181,101
34,250257,250181,76
35,252240,251636,604
36,252139,251576,563
37,252150,251614,536
38,250288,250187,101
39,250256,250155,101
40,250269,250178,91
41,250251,250175,76
42,250257,250181,76
43,252173,251613,560
44,250230,250154,76
45,250260,250184,76
46,250202,250126,76
47,252177,251590,587
48,250266,250175,91
49,250249,250173,76
50,251979,251380,599
51,252203,251599,604
52,252144,251584,560
53,252017,251485,532
54,252121,251565,556
55,250282,250181,101
56,250291,250175,116
57,252177,251605,572
58,252159,251624,535
59,252147,251611,536
60,252157,251603,554
61,252183,251623,560
62,252116,251563,553
63,250290,250189,101
64,252033,251487,546
65,252074,251506,568
66,252163,251627,536
67,252143,251608,535
68,250260,250159,101
69,250291,250190,101
70,252100,251537,563
71,250283,250182,101
72,250264,250173,91
73,250257,250181,76
74,250243,250167,76
75,250269,250193,76
76,250249,250173,76
77,252197,251634,563
78,250193,250117,76
79,250259,250183,76
80,250264,250173,91
81,250257,250181,76
82,252195,251632,563
83,250246,250170,76
84,252068,251505,563
85,250257,250181,76
86,250197,250121,76
87,252200,251637,563
88,252209,251615,594
89,252142,251607,535
90,250282,250181,101
91,252173,251605,568
92,250276,250175,101
93,250306,250205,101
94,250202,250126,76
95,252104,251498,606
96,250258,250167,91
97,250258,250182,76
98,250257,250181,76
99,252233,251646,587
100,252204,251606,598
101,252130,251595,535
102,250227,250126,101
103,250284,250183,101
104,252211,251601,610
105,250275,250174,101
106,250257,250181,76
107,252189,251626,563
108,252213,251628,585
109,250276,250175,101
110,252133,251545,588
111,252146,251610,536
112,250280,250164,116
113,250285,250184,101
114,250256,250180,76
115,252057,251470,587
116,252179,251616,563
117,250271,250170,101
118,250203,250127,76
119,250257,250181,76
120,252049,251446,603
121,252040,251453,587
122,250280,250179,101
123,250257,250181,76
124,251787,251192,595
125,251826,251266,560
126,251780,251244,536
127,250283,250182,101
128,252546,251986,560
129,252613,252077,536
130,250282,250181,101
131,250282,250181,101
132,252597,251994,603
133,250285,250184,101
134,252351,251773,578
135,252294,251740,554
136,252456,251920,536
137,250271,250170,101
138,252169,251633,536
139,250282,250181,101
140,252320,251784,536
141,252303,251766,537
142,250295,250179,116
143,252249,251713,536
144,250266,250165,101
145,250273,250172,101
146,252207,251619,588
147,252079,251507,572
148,252127,251595,532
149,250285,250184,101
150,252162,251612,550
151,250227,250126,101
152,250274,250173,101
153,250252,250176,76
154,252109,251521,588
155,250255,250179,76
156,252209,251607,602
157,250257,250181,76
158,250261,250170,91
159,250203,250127,76
160,250249,250173,76
161,252193,251631,562
162,250243,250167,76
163,250259,250183,76
164,252147,251587,560
165,252223,251628,595
166,250290,250174,116
167,252161,251564,597
168,250258,250157,101
169,252208,251645,563
170,250284,250183,101
171,252041,251478,563
172,250275,250174,101
173,250258,250182,76
174,250256,250165,91
175,252145,251583,562
176,252165,251602,563
177,252010,251458,552
178,252004,251472,532
179,250273,250172,101
180,250278,250177,101
181,252462,251873,589
182,252266,251720,546
183,250661,250560,101
184,252414,251876,538
185,252462,251890,572
186,252450,251874,576
187,250730,250629,101
188,252390,251858,532
189,250685,250584,101
190,250729,250613,116
191,250634,250558,76
192,252470,251866,604
193,250715,250639,76
194,252331,251743,588
195,252263,251704,559
196,250711,250610,101
197,252237,251674,563
198,252300,251710,590
199,250694,250593,101
200,252087,251551,536
201,251989,251433,556
202,250712,250611,101
203,250706,250605,101
204,252170,251583,587
205,250683,250582,101
206,250706,250615,91
207,250634,250558,76
208,250681,250605,76
209,250684,250608,76
210,250699,250623,76
211,252164,251579,585
212,252138,251575,563
213,252068,251532,536
214,250731,250615,116
215,250659,250558,101
216,250681,250605,76
217,252133,251570,563
218,252136,251573,563
219,250715,250614,101
220,250681,250605,76
221,252106,251543,563
222,252158,251580,578
223,251894,251358,536
224,250714,250613,101
225,250714,250613,101
226,251963,251400,563
227,251966,251405,561
228,251806,251270,536
229,251892,251356,536
230,251969,251419,550
231,250648,250547,101
232,251964,251392,572
233,251938,251402,536
234,250714,250613,101
235,250702,250601,101
236,251999,251412,587
237,250687,250586,101
238,250704,250613,91
239,250625,250549,76
240,250682,250606,76
241,251955,251392,563
242,250705,250629,76
243,251984,251421,563
244,250670,250594,76
245,250662,250586,76
246,250704,250613,91
247,251801,251238,563
248,252006,251411,595
249,250712,250611,101
250,251829,251250,579
251,250714,250613,101
252,251850,251246,604
253,251632,251064,568
254,250283,250182,101
255,250257,250181,76
256,252616,252053,563
257,252580,251985,595
258,250285,250184,101
259,250251,250175,76
260,250272,250181,91
261,252656,252093,563
262,250190,250114,76
263,250277,250201,76
264,250246,250170,76
265,250249,250173,76
266,250259,250183,76
267,250246,250170,76
268,250272,250181,91
269,250249,250173,76
270,250208,250132,76
271,252672,252112,560
272,250244,250168,76
273,252675,252080,595
274,252523,251964,559
275,250289,250188,101
276,250274,250183,91
277,252500,251897,603
278,252469,251884,585
279,252501,251947,554
280,252463,251931,532
281,250298,250197,101
282,252340,251772,568
283,252288,251750,538
284,252340,251790,550
285,250275,250174,101
286,252271,251717,554
287,252231,251686,545
288,252278,251742,536
289,250276,250175,101
290,250282,250181,101
291,250257,250181,76
292,250275,250184,91
293,250235,250159,76
294,252268,251705,563
295,250257,250181,76
296,252062,251499,563
297,250252,250176,76
298,250257,250181,76
299,252342,251783,559
300,250275,250184,91
301,250238,250162,76
302,250214,250138,76
303,252270,251666,604
304,250241,250165,76
305,250254,250178,76
306,250251,250175,76
307,252370,251773,597
308,250272,250181,91
309,250238,250162,76
310,252301,251738,563
311,252339,251780,559
312,250279,250178,101
313,250251,250175,76
314,250249,250173,76
315,250258,250182,76
316,252356,251778,578
317,252044,251481,563
318,250249,250148,101
319,250255,250179,76
320,250246,250170,76
321,252336,251749,587
322,250246,250170,76
323,252335,251771,564
324,252282,251686,596
325,250274,250173,101
326,250216,250140,76
327,250249,250173,76
328,250246,250170,76
329,250249,250173,76
330,252344,251781,563
331,250261,250185,76
332,252371,251796,575
333,250249,250173,76
334,250215,250139,76
335,252361,251773,588
336,252352,251779,573
337,250274,250173,101
338,250257,250181,76
339,250259,250183,76
340,250270,250179,91
341,250249,250173,76
342,252346,251743,603
343,250248,250172,76
344,250248,250172,76
345,252331,251756,575
346,250257,250181,76
347,252366,251771,595
348,250301,250210,91
349,250250,250174,76
350,252314,251741,573
351,250252,250176,76
352,252319,251760,559
353,252306,251743,563
354,250274,250173,101
355,252362,251775,587
356,252348,251764,584
357,252271,251735,536
358,250259,250158,101
359,252310,251774,536
360,252183,251648,535
361,252177,251646,531
362,252269,251733,536
363,250282,250181,101
364,250292,250176,116
365,250231,250155,76
366,252096,251501,595
367,252193,251630,563
368,252141,251605,536
369,252131,251596,535
370,250283,250182,101
371,250282,250181,101
372,250272,250181,91
373,250240,250164,76
374,250228,250152,76
375,252201,251606,595
376,251934,251374,560
377,250265,250164,101
378,250244,250168,76
379,252156,251593,563
380,252190,251612,578
381,252693,252123,570
382,252507,251948,559
383,250282,250181,101
384,252605,252069,536
385,250262,250161,101
386,252709,252119,590
387,252661,252105,556
388,252582,252046,536
389,250240,250139,101
390,252622,252086,536
391,250299,250198,101
392,252671,252099,572
393,250271,250170,101
394,250299,250183,116
395,252636,252073,563
396,250274,250173,101
397,250237,250161,76
398,252684,252081,603
399,250259,250183,76
400,252683,252088,595
401,250246,250170,76
402,250276,250185,91
403,252346,251786,560
404,250250,250174,76
405,250213,250137,76
406,252630,252070,560
407,250261,250185,76
408,252651,252089,562
409,252655,252095,560
410,252687,252103,584
411,250271,250170,101
412,252655,252095,560
413,250238,250137,101
414,250282,250181,101
415,252676,252081,595
416,252622,252086,536
417,252647,252077,570
418,252632,252082,550
419,252628,252092,536
420,252530,251997,533
421,250237,250136,101
422,250282,250181,101
423,252469,251865,604
424,250263,250162,101
425,252639,252078,561
426,250297,250181,116
427,252634,252074,560
428,250286,250185,101
429,250207,250131,76
430,252656,252092,564
431,250257,250181,76
432,252667,252079,588
433,250233,250157,76
434,250279,250188,91
435,250257,250181,76
436,252538,251967,571
437,252582,252020,562
438,250283,250182,101
439,252637,252074,563
440,252287,251752,535
441,252655,252079,576
442,252683,252099,584
443,252648,252078,570
444,250276,250175,101
445,252573,252041,532
446,252604,252069,535
447,252633,252097,536
448,252466,251934,532
449,250274,250173,101
450,250286,250170,116
451,252480,251917,563
452,252201,251665,536
453,252201,251669,532
454,250288,250187,101
455,250280,250179,101
456,250249,250173,76
457,252364,251801,563
458,252555,251936,619
459,250283,250182,101
460,250249,250173,76
461,252289,251726,563
462,252336,251773,563
463,252269,251732,537
464,252311,251775,536
465,252225,251664,561
466,250292,250176,116
467,250286,250185,101
468,250249,250173,76
469,252297,251728,569
470,252400,251836,564
471,252164,251632,532
472,252140,251607,533
473,252149,251579,570
474,250297,250181,116
475,252060,251508,552
476,250261,250160,101
477,250238,250137,101
478,252191,251628,563
479,250273,250172,101
480,250253,250177,76
481,250246,250170,76
482,252179,251577,602
483,252099,251495,604
484,252158,251606,552
485,252123,251587,536
486,251917,251357,560
487,251994,251458,536
488,251988,251455,533
489,252010,251434,576
490,252013,251463,550
491,251994,251458,536
492,251796,251260,536
493,251817,251265,552
494,251652,251116,536
495,251724,251156,568
496,250278,250177,101
497,251648,251116,532
498,250297,250181,116
499,250283,250182,101
500,250228,250152,76
501,251550,250991,559
502,251699,251136,563
503,250282,250181,101
504,250249,250173,76
505,251545,250982,563
506,250258,250167,91
507,251746,251143,603
508,252735,252140,595
509,250277,250176,101
510,250254,250178,76
511,250212,250175,37
