bit_position,bit_interval,receiver_interval,sender_interval
0,250251,250084,167
1,250205,250094,111
2,250076,250000,76
3,250116,250040,76
4,252680,251981,699
5,252281,251677,604
6,250130,250029,101
7,250106,250030,76
8,252258,251654,604
9,250130,250054,76
10,252212,251608,604
11,252234,251646,588
12,250146,250045,101
13,250121,250045,76
14,252184,251621,563
15,250097,250021,76
16,252282,251663,619
17,250133,250057,76
18,252147,251584,563
19,252107,251504,603
20,252210,251634,576
21,252181,251622,559
22,250129,250028,101
23,252148,251612,536
24,252240,251666,574
25,252020,251484,536
26,251973,251433,540
27,250132,250031,101
28,252007,251474,533
29,252059,251506,553
30,250135,250034,101
31,251907,251347,560
32,250156,250040,116
33,251911,251366,545
34,251870,251334,536
35,252007,251471,536
36,252018,251482,536
37,251912,251376,536
38,250120,250019,101
39,251922,251349,573
40,250166,250050,116
41,252072,251515,557
42,250120,250019,101
43,252021,251453,568
44,250135,250034,101
45,250157,250056,101
46,250091,250015,76
47,252012,251449,563
48,250138,250047,91
49,250117,250041,76
50,250096,250020,76
51,250100,250024,76
52,250116,250040,76
53,250133,250057,76
54,250085,250009,76
55,252052,251489,563
56,250138,250047,91
57,250118,250042,76
58,250100,250024,76
59,251917,251354,563
60,251949,251390,559
61,252031,251499,532
62,250112,250011,101
63,252014,251478,536
64,250161,250045,116
65,250145,250044,101
66,250099,250023,76
67,252032,251469,563
68,250117,250041,76
69,252086,251482,604
70,250076,250000,76
71,252079,251475,604
72,252037,251459,578
73,250146,250045,101
74,250105,250029,76
75,252068,251464,604
76,252095,251502,593
77,250158,250057,101
78,251933,251346,587
79,252004,251469,535
80,250161,250045,116
81,250154,250053,101
82,251917,251354,563
83,252020,251452,568
84,250147,250046,101
85,250154,250053,101
86,250090,250014,76
87,252063,251476,587
88,250136,250045,91
89,252035,251472,563
90,250095,250019,76
91,250097,250021,76
92,252094,251490,604
93,251931,251352,579
94,251984,251449,535
95,251993,251457,536
96,250163,250047,116
97,252052,251492,560
98,250140,250039,101
99,250128,250027,101
100,252053,251482,571
101,252044,251504,540
102,250120,250019,101
103,252009,251476,533
104,252021,251471,550
105,252037,251481,556
106,250116,250015,101
107,251934,251362,572
108,252029,251493,536
109,252024,251468,556
110,251991,251455,536
111,251856,251302,554
112,250152,250036,116
113,252027,251491,536
114,252029,251457,572
115,252018,251482,536
116,250148,250047,101
117,250128,250027,101
118,250107,250031,76
119,251760,251197,563
120,251919,251332,587
121,251876,251340,536
122,251806,251270,536
123,251837,251301,536
124,250146,250045,101
125,251711,251176,535
126,251848,251312,536
127,250139,250038,101
128,250129,250053,76
129,250129,250053,76
130,250113,250037,76
131,250091,250015,76
132,250127,250051,76
133,250129,250053,76
134,250137,250046,91
135,250066,249990,76
136,252534,251975,559
137,252519,251960,559
138,250143,250042,101
139,252515,251927,588
140,252352,251796,556
141,252224,251652,572
142,250158,250042,116
143,250097,249996,101
144,252090,251527,563
145,250154,250053,101
146,252187,251624,563
147,250104,250003,101
148,250118,250042,76
149,250121,250045,76
150,250141,250050,91
151,250072,249996,76
152,252220,251643,577
153,252193,251630,563
154,250143,250042,101
155,250089,250013,76
156,252211,251648,563
157,250133,250057,76
158,252231,251653,578
159,250077,250001,76
160,252194,251635,559
161,250118,250042,76
162,250118,250042,76
163,252197,251600,597
164,250124,250048,76
165,252240,251677,563
166,250131,250040,91
167,250077,250001,76
168,250122,250046,76
169,250128,250052,76
170,252214,251649,565
171,252182,251619,563
172,250158,250057,101
173,250133,250057,76
174,250142,250051,91
175,252173,251584,589
176,252199,251640,559
177,250153,250052,101
178,252241,251637,604
179,252160,251584,576
180,252055,251520,535
181,250155,250054,101
182,250143,250027,116
183,250083,250007,76
184,251956,251367,589
185,250129,250053,76
186,250121,250045,76
187,250063,249987,76
188,250129,250053,76
189,251940,251380,560
190,251938,251363,575
191,250113,250012,101
192,252058,251495,563
193,250174,250073,101
194,252051,251472,579
195,252018,251443,575
196,250167,250066,101
197,250154,250053,101
198,250128,250037,91
199,250082,250006,76
200,250123,250047,76
201,250125,250049,76
202,252021,251462,559
203,250066,249990,76
204,252101,251506,595
205,251954,251392,562
206,252033,251483,550
207,251966,251436,530
208,250146,250045,101
209,250155,250054,101
210,250126,250050,76
211,250072,249996,76
212,250129,250053,76
213,251950,251388,562
214,252115,251497,618
215,250113,250012,101
216,252038,251475,563
217,251873,251337,536
218,250143,250042,101
219,251983,251429,554
220,251956,251388,568
221,250150,250049,101
222,250158,250042,116
223,251988,251411,577
224,251905,251333,572
225,250150,250049,101
226,250149,250048,101
227,250077,250001,76
228,252050,251490,560
229,250126,250050,76
230,250134,250043,91
231,250073,249997,76
232,251936,251373,563
233,252066,251503,563
234,252030,251494,536
235,251965,251429,536
236,251899,251363,536
237,252007,251471,536
238,252057,251469,588
239,250102,250001,101
240,252025,251481,544
241,251868,251328,540
242,251850,251314,536
243,250107,250006,101
244,250146,250045,101
245,250132,250056,76
246,251822,251210,612
247,251810,251250,560
248,250154,250053,101
249,251908,251319,589
250,250128,250027,101
251,250079,250003,76
252,251724,251161,563
253,250149,250073,76
254,252513,251950,563
255,250126,250050,76
256,252413,251818,595
257,250120,250044,76
258,250089,250013,76
259,250116,250040,76
260,252279,251661,618
261,252388,251809,579
262,252288,251752,536
263,250144,250043,101
264,250146,250045,101
265,252174,251570,604
266,252146,251610,536
267,252205,251647,558
268,252209,251632,577
269,251928,251396,532
270,251724,251168,556
271,250165,250064,101
272,250146,250045,101
273,251871,251308,563
274,250120,250019,101
275,250107,250031,76
276,250137,250046,91
277,250129,250053,76
278,251868,251271,597
279,250118,250042,76
280,251633,250997,636
281,250121,250045,76
282,251688,251125,563
283,251718,251155,563
284,251589,251039,550
285,250154,250053,101
286,250110,250009,101
287,250121,250045,76
288,250123,250047,76
289,251724,251162,562
290,251551,250988,563
291,251528,250991,537
292,250164,250048,116
293,251546,251010,536
294,251530,250958,572
295,250145,250044,101
296,250135,250034,101
297,251580,251020,560
298,250106,250005,101
299,250122,250046,76
300,251602,251024,578
301,250123,250047,76
302,251582,250978,604
303,250110,250034,76
304,251559,250996,563
305,250132,250056,76
306,250084,250008,76
307,250126,250050,76
308,250138,250047,91
309,250114,250038,76
310,251535,250976,559
311,251462,250899,563
312,251600,251030,570
313,250158,250057,101
314,251489,250952,537
315,250143,250042,101
316,250161,250045,116
317,251457,250894,563
318,251382,250846,536
319,251506,250970,536
320,251561,251025,536
321,250157,250056,101
322,250093,249992,101
323,251574,251014,560
324,250161,250045,116
325,251460,250897,563
326,251510,250974,536
327,250141,250040,101
328,251531,250995,536
329,251540,251004,536
330,250099,249998,101
331,251590,251038,552
332,250161,250045,116
333,251565,251011,554
334,250112,250011,101
335,250137,250036,101
336,251545,250982,563
337,251553,251017,536
338,250105,250004,101
339,250147,250046,101
340,250140,250049,91
341,251558,250954,604
342,250095,250019,76
343,250107,250031,76
344,250122,250046,76
345,250129,250053,76
346,251526,250963,563
347,250118,250042,76
348,250130,250039,91
349,251603,251022,581
350,250104,250028,76
351,250109,250033,76
352,250117,250041,76
353,251417,250854,563
354,250085,250009,76
355,251425,250844,581
356,251408,250830,578
357,251433,250861,572
358,250110,250009,101
359,251395,250859,536
360,250149,250048,101
361,251406,250870,536
362,250110,250009,101
363,250142,250041,101
364,250127,250036,91
365,251410,250847,563
366,251252,250689,563
367,251376,250840,536
368,251279,250743,536
369,250139,250038,101
370,250110,250009,101
371,251388,250825,563
372,251398,250849,549
373,251287,250751,536
374,250102,250001,101
375,250151,250050,101
376,250120,250044,76
377,250118,250042,76
378,250090,250014,76
379,251409,250846,563
380,251418,250840,578
381,252376,251840,536
382,252493,251957,536
383,250141,250040,101
384,252208,251672,536
385,250102,250001,101
386,252232,251682,550
387,252203,251659,544
388,252049,251517,532
389,252149,251613,536
390,250154,250053,101
391,250158,250057,101
392,252111,251552,559
393,252148,251612,536
394,252204,251658,546
395,250146,250045,101
396,252192,251648,544
397,250112,250011,101
398,250154,250053,101
399,252192,251629,563
400,250143,250042,101
401,250066,249990,76
402,252104,251524,580
403,250121,250045,76
404,250110,250034,76
405,251978,251390,588
406,250123,250047,76
407,252205,251645,560
408,252203,251640,563
409,250101,250000,101
410,252289,251670,619
411,250146,250045,101
412,250118,250042,76
413,252039,251444,595
414,250118,250042,76
415,251863,251304,559
416,251898,251317,581
417,251850,251294,556
418,251848,251301,547
419,250148,250047,101
420,251724,251188,536
421,250110,250009,101
422,251712,251156,556
423,250139,250038,101
424,251733,251157,576
425,251690,251120,570
426,250171,250055,116
427,251692,251156,536
428,251585,251049,536
429,251531,250995,536
430,250149,250048,101
431,251596,251024,572
432,251546,251010,536
433,251499,250961,538
434,250169,250053,116
435,250135,250034,101
436,250119,250043,76
437,250082,250006,76
438,251568,251006,562
439,250123,250047,76
440,251592,250997,595
441,251424,250861,563
442,250161,250045,116
443,250116,250040,76
444,250122,250046,76
445,250085,250009,76
446,250137,250061,76
447,251431,250868,563
448,251535,250972,563
449,251414,250878,536
450,251593,251005,588
451,251539,251003,536
452,251531,250995,536
453,250096,249995,101
454,250154,250053,101
455,251598,251010,588
456,251549,250973,576
457,250118,250017,101
458,251562,251012,550
459,251546,251010,536
460,250145,250044,101
461,251508,250972,536
462,250162,250061,101
463,250146,250045,101
464,250113,250037,76
465,251538,250978,560
466,251151,250573,578
467,251383,250847,536
468,250144,250043,101
469,250101,250000,101
470,250151,250075,76
471,250121,250045,76
472,251387,250824,563
473,250089,250013,76
474,251434,250831,603
475,251441,250837,604
476,251378,250841,537
477,251331,250795,536
478,250158,250057,101
479,250148,250047,101
480,250110,250034,76
481,251390,250827,563
482,250133,250042,91
483,251409,250849,560
484,250118,250042,76
485,251366,250803,563
486,250128,250052,76
487,250115,250039,76
488,250118,250042,76
489,250100,250024,76
490,251261,250683,578
491,251424,250837,587
492,250143,250042,101
493,250085,250009,76
494,250132,250056,76
495,251423,250844,579
496,251413,250851,562
497,251338,250803,535
498,251391,250841,550
499,251293,250737,556
500,250149,250048,101
501,250110,250009,101
502,251418,250855,563
503,251372,250836,536
504,250146,250045,101
505,251328,250792,536
506,250169,250053,116
507,251367,250835,532
508,252517,251981,536
509,252934,252381,553
510,252936,252364,572
511,250507,250456,51
