bit_position,bit_interval,receiver_interval,sender_interval
0,250385,250218,167
1,250327,250216,111
2,252627,251928,699
3,250282,250181,101
4,250249,250173,76
5,252478,251897,581
6,250231,250155,76
7,250230,250154,76
8,250294,250177,117
9,250258,250182,76
10,250248,250172,76
11,250247,250171,76
12,252492,251921,571
13,252352,251765,587
14,252312,251780,532
15,252426,251893,533
16,250289,250173,116
17,250272,250171,101
18,250258,250182,76
19,252502,251939,563
20,250247,250171,76
21,252321,251758,563
22,250224,250148,76
23,252144,251581,563
24,252219,251609,610
25,252081,251511,570
26,251981,251449,532
27,251971,251439,532
28,251835,251300,535
29,251881,251345,536
30,250258,250157,101
31,251835,251298,537
32,252052,251470,582
33,251996,251442,554
34,252001,251465,536
35,252027,251467,560
36,250281,250180,101
37,250283,250182,101
38,251975,251413,562
39,250256,250155,101
40,250269,250178,91
41,252046,251451,595
42,252056,251494,562
43,251976,251440,536
44,250261,250160,101
45,250285,250184,101
46,250223,250147,76
47,250236,250160,76
48,251897,251323,574
49,251901,251338,563
50,252010,251438,572
51,250282,250181,101
52,250269,250168,101
53,250261,250185,76
54,250215,250139,76
55,251998,251435,563
56,252014,251439,575
57,251987,251455,532
58,252045,251469,576
59,252004,251444,560
60,250274,250173,101
61,251936,251364,572
62,251864,251289,575
63,251981,251445,536
64,250289,250173,116
65,251974,251442,532
66,250276,250175,101
67,250286,250185,101
68,250245,250169,76
69,251764,251167,597
70,250212,250136,76
71,251870,251273,597
72,251841,251263,578
73,250287,250186,101
74,250255,250179,76
75,251758,251195,563
76,250249,250173,76
77,250257,250181,76
78,251805,251246,559
79,250248,250172,76
80,250264,250173,91
81,251860,251298,562
82,250261,250185,76
83,250246,250170,76
84,251899,251295,604
85,250257,250181,76
86,250218,250142,76
87,251855,251292,563
88,250260,250169,91
89,250257,250181,76
90,251744,251181,563
91,250258,250182,76
92,250251,250175,76
93,250263,250187,76
94,251832,251269,563
95,250239,250163,76
96,250258,250167,91
97,250276,250200,76
98,251876,251307,569
99,250262,250186,76
100,251571,251008,563
101,251732,251169,563
102,251784,251248,536
103,251855,251319,536
104,251831,251285,546
105,250281,250180,101
106,250282,250181,101
107,251777,251180,597
108,250279,250178,101
109,250245,250169,76
110,250223,250147,76
111,250234,250158,76
112,250256,250165,91
113,251889,251294,595
114,250256,250180,76
115,250251,250175,76
116,250251,250175,76
117,250246,250170,76
118,251811,251252,559
119,251823,251261,562
120,251843,251292,551
121,250286,250185,101
122,250280,250179,101
123,250257,250181,76
124,251892,251289,603
125,250248,250172,76
126,251843,251280,563
127,250258,250182,76
128,252561,251957,604
129,250251,250175,76
130,250269,250193,76
131,252377,251814,563
132,250246,250170,76
133,252544,251941,603
134,250271,250180,91
135,252324,251761,563
136,252404,251842,562
137,250271,250170,101
138,250267,250191,76
139,252531,251927,604
140,252492,251929,563
141,252492,251936,556
142,250325,250209,116
143,252319,251767,552
144,252459,251926,533
145,250273,250172,101
146,252368,251836,532
147,252395,251825,570
148,252459,251923,536
149,252437,251901,536
150,250284,250168,116
151,250227,250126,101
152,250249,250173,76
153,252503,251915,588
154,250258,250182,76
155,252376,251813,563
156,250249,250173,76
157,252435,251780,655
158,252544,251925,619
159,252457,251887,570
160,250274,250173,101
161,252474,251917,557
162,252355,251820,535
163,252451,251919,532
164,250274,250173,101
165,252320,251785,535
166,250280,250164,116
167,250236,250135,101
168,250245,250169,76
169,252358,251754,604
170,250259,250183,76
171,250246,250170,76
172,250238,250162,76
173,252235,251672,563
174,250268,250177,91
175,250210,250134,76
176,252332,251772,560
177,250257,250181,76
178,252356,251769,587
179,250260,250184,76
180,252351,251747,604
181,252245,251664,581
182,252323,251776,547
183,252132,251599,533
184,250263,250162,101
185,250283,250182,101
186,250257,250181,76
187,250263,250187,76
188,250252,250176,76
189,250255,250179,76
190,252193,251616,577
191,252302,251739,563
192,250265,250164,101
193,250264,250188,76
194,250257,250181,76
195,252379,251782,597
196,252156,251553,603
197,250289,250188,101
198,252238,251636,602
199,252135,251599,536
200,252344,251776,568
201,252343,251790,553
202,250280,250179,101
203,250307,250206,101
204,250249,250173,76
205,250244,250168,76
206,250274,250183,91
207,250202,250126,76
208,252323,251760,563
209,252359,251778,581
210,252197,251661,536
211,250280,250179,101
212,250274,250173,101
213,252334,251753,581
214,250299,250183,116
215,252122,251559,563
216,252112,251576,536
217,250283,250182,101
218,250271,250170,101
219,250258,250182,76
220,250249,250173,76
221,250257,250181,76
222,252244,251625,619
223,252028,251465,563
224,250276,250175,101
225,252206,251627,579
226,252126,251593,533
227,252030,251494,536
228,252175,251614,561
229,252052,251500,552
230,250300,250184,116
231,250216,250115,101
232,252179,251616,563
233,251764,251228,536
234,250288,250187,101
235,251981,251445,536
236,251931,251359,572
237,252000,251428,572
238,250297,250181,116
239,250206,250105,101
240,251994,251432,562
241,251996,251451,545
242,252000,251467,533
243,252020,251475,545
244,250263,250162,101
245,250270,250169,101
246,252046,251434,612
247,251561,251028,533
248,251870,251298,572
249,251820,251287,533
250,251831,251295,536
251,251845,251313,532
252,251835,251283,552
253,250283,250182,101
254,250294,250193,101
255,250271,250195,76
256,250240,250164,76
257,252427,251824,603
258,250257,250181,76
259,252652,252092,560
260,252579,252004,575
261,250280,250179,101
262,250213,250137,76
263,250258,250182,76
264,252533,251946,587
265,250265,250189,76
266,252662,252081,581
267,250267,250191,76
268,252684,252106,578
269,250247,250171,76
270,250213,250137,76
271,252510,251951,559
272,250237,250161,76
273,252495,251926,569
274,252481,251921,560
275,252359,251823,536
276,252460,251910,550
277,252428,251876,552
278,252476,251908,568
279,250280,250179,101
280,252450,251914,536
281,252530,251958,572
282,250280,250179,101
283,250276,250175,101
284,250272,250181,91
285,252508,251911,597
286,252492,251904,588
287,252464,251928,536
288,252492,251924,568
289,252492,251939,553
290,252484,251951,533
291,252354,251818,536
292,252502,251952,550
293,252335,251803,532
294,252459,251899,560
295,252469,251934,535
296,252470,251934,536
297,252518,251942,576
298,250274,250173,101
299,250282,250181,101
300,252523,251949,574
301,252488,251916,572
302,252444,251875,569
303,250272,250171,101
304,252478,251942,536
305,252343,251811,532
306,250273,250172,101
307,252291,251756,535
308,252367,251787,580
309,250274,250173,101
310,250240,250139,101
311,252146,251587,559
312,252305,251772,533
313,252188,251646,542
314,250277,250176,101
315,252019,251483,536
316,250299,250183,116
317,250274,250173,101
318,252129,251566,563
319,252130,251594,536
320,250283,250182,101
321,250274,250173,101
322,250263,250187,76
323,252158,251595,563
324,250261,250170,91
325,252009,251438,571
326,251975,251412,563
327,251976,251440,536
328,250285,250184,101
329,251984,251448,536
330,251864,251328,536
331,250283,250182,101
332,251903,251350,553
333,250276,250175,101
334,250236,250135,101
335,250257,250181,76
336,251840,251277,563
337,251876,251281,595
338,250276,250175,101
339,251855,251292,563
340,251615,251065,550
341,251843,251307,536
342,251781,251245,536
343,250282,250181,101
344,250268,250167,101
345,251863,251282,581
346,250283,250182,101
347,251837,251274,563
348,250292,250176,116
349,250254,250178,76
350,251800,251238,562
351,251870,251289,581
352,250269,250168,101
353,250242,250166,76
354,250260,250184,76
355,251775,251188,587
356,250272,250181,91
357,250257,250181,76
358,250201,250125,76
359,250262,250186,76
360,250246,250170,76
361,251838,251275,563
362,251697,251134,563
363,250286,250185,101
364,251911,251301,610
365,250280,250179,101
366,251799,251236,563
367,250283,250182,101
368,250236,250160,76
369,250259,250183,76
370,250256,250180,76
371,250253,250177,76
372,250272,250181,91
373,250249,250173,76
374,250194,250118,76
375,250271,250195,76
376,251775,251188,587
377,251895,251291,604
378,250284,250183,101
379,251861,251301,560
380,251841,251291,550
381,250289,250188,101
382,250254,250178,76
383,250251,250175,76
384,252669,252109,560
385,252666,252069,597
386,250278,250162,116
387,252683,252094,589
388,252549,251982,567
389,252408,251872,536
390,250282,250181,101
391,250274,250173,101
392,250258,250182,76
393,250246,250170,76
394,250277,250186,91
395,250261,250185,76
396,250265,250189,76
397,250213,250137,76
398,250251,250175,76
399,252292,251729,563
400,250288,250212,76
401,250246,250170,76
402,250262,250171,91
403,250260,250184,76
404,252207,251636,571
405,250213,250137,76
406,250243,250167,76
407,250248,250172,76
408,252358,251761,597
409,252373,251769,604
410,250289,250173,116
411,252174,251611,563
412,252117,251564,553
413,250239,250138,101
414,252184,251608,576
415,252189,251613,576
416,252135,251599,536
417,250267,250166,101
418,252172,251623,549
419,250282,250181,101
420,252146,251576,570
421,250242,250141,101
422,251894,251326,568
423,251896,251342,554
424,251982,251446,536
425,251988,251428,560
426,252027,251437,590
427,250284,250183,101
428,252006,251470,536
429,250242,250141,101
430,250260,250159,101
431,250262,250186,76
432,252019,251456,563
433,250239,250163,76
434,252073,251454,619
435,252037,251456,581
436,251896,251336,560
437,251990,251422,568
438,250268,250167,101
439,252024,251454,570
440,250282,250181,101
441,251989,251453,536
442,251804,251255,549
443,251997,251461,536
444,250282,250181,101
445,252009,251437,572
446,250263,250162,101
447,252022,251452,570
448,251995,251459,536
449,251977,251441,536
450,251994,251444,550
451,250282,250181,101
452,250282,250181,101
453,251840,251237,603
454,250265,250164,101
455,251883,251324,559
456,251846,251290,556
457,251838,251305,533
458,250291,250175,116
459,251710,251174,536
460,250283,250182,101
461,251822,251286,536
462,250274,250173,101
463,251872,251302,570
464,250280,250179,101
465,251710,251174,536
466,250289,250173,116
467,251824,251288,536
468,251837,251304,533
469,251820,251248,572
470,251709,251173,536
471,250285,250184,101
472,250271,250170,101
473,251853,251266,587
474,251835,251286,549
475,251828,251292,536
476,250288,250187,101
477,251773,251241,532
478,250274,250173,101
479,250282,250181,101
480,250246,250170,76
481,251837,251274,563
482,251748,251170,578
483,250282,250181,101
484,251863,251300,563
485,251776,251244,532
486,251832,251297,535
487,250278,250177,101
488,250279,250178,101
489,250250,250174,76
490,251859,251282,577
491,250245,250169,76
492,250265,250189,76
493,251805,251242,563
494,250254,250178,76
495,250257,250181,76
496,250257,250181,76
497,250238,250162,76
498,251900,251287,613
499,251852,251289,563
500,250286,250185,101
501,250204,250128,76
502,251866,251278,588
503,251830,251267,563
504,251903,251327,576
505,251839,251306,533
506,250278,250162,116
507,251725,251189,536
508,252542,252006,536
509,250288,250187,101
510,250280,250179,101
511,252485,251974,511
