bit_position,bit_interval,receiver_interval,sender_interval
0,250000,249833,167
1,252476,251786,690
2,249906,249805,101
3,252253,251709,544
4,252103,251571,532
5,249926,249825,101
6,249920,249819,101
7,249874,249798,76
8,249905,249788,117
9,252311,251748,563
10,252268,251705,563
11,249897,249796,101
12,252285,251698,587
13,249931,249830,101
14,249900,249824,76
15,252272,251709,563
16,252210,251592,618
17,252288,251728,560
18,249907,249806,101
19,252305,251733,572
20,252240,251681,559
21,252281,251746,535
22,252254,251717,537
23,252140,251580,560
24,252153,251607,546
25,252295,251759,536
26,252319,251743,576
27,249900,249799,101
28,252083,251547,536
29,249931,249830,101
30,249922,249821,101
31,249866,249790,76
32,252317,251707,610
33,252240,251659,581
34,252150,251614,536
35,252280,251712,568
36,252226,251689,537
37,252324,251752,572
38,249930,249829,101
39,252233,251701,532
40,249909,249793,116
41,252261,251726,535
42,252300,251740,560
43,252299,251732,567
44,249879,249778,101
45,249940,249839,101
46,249893,249817,76
47,252289,251710,579
48,252264,251687,577
49,252307,251739,568
50,252285,251749,536
51,249897,249796,101
52,252270,251702,568
53,252029,251476,553
54,249921,249820,101
55,249895,249794,101
56,252057,251438,619
57,249920,249819,101
58,252017,251422,595
59,251972,251412,560
60,251923,251388,535
61,249937,249836,101
62,249907,249806,101
63,251932,251347,585
64,249904,249788,116
65,251962,251402,560
66,249923,249822,101
67,249871,249795,76
68,249864,249788,76
69,252006,251439,567
70,249881,249805,76
71,251936,251373,563
72,249879,249788,91
73,249906,249830,76
74,249895,249819,76
75,251948,251351,597
76,251961,251358,603
77,249931,249830,101
78,252004,251401,603
79,251735,251163,572
80,251961,251379,582
81,249931,249830,101
82,249925,249824,101
83,249873,249797,76
84,251788,251228,560
85,249906,249830,76
86,249886,249810,76
87,249876,249800,76
88,249875,249784,91
89,249906,249830,76
90,249899,249823,76
91,249861,249785,76
92,251820,251232,588
93,251836,251273,563
94,249918,249817,101
95,251675,251112,563
96,251795,251221,574
97,249934,249833,101
98,249918,249817,101
99,249872,249796,76
100,251778,251215,563
101,251797,251234,563
102,249918,249817,101
103,251682,251119,563
104,251702,251118,584
105,251827,251251,576
106,249920,249819,101
107,249896,249795,101
108,251802,251214,588
109,249923,249822,101
110,251795,251232,563
111,251530,250962,568
112,251613,251063,550
113,249934,249833,101
114,249921,249820,101
115,249871,249795,76
116,251676,251072,604
117,249895,249819,76
118,249894,249818,76
119,251627,251064,563
120,249881,249790,91
121,251518,250956,562
122,251498,250935,563
123,249895,249794,101
124,249864,249788,76
125,251390,250828,562
126,249894,249818,76
127,252309,251744,565
128,252271,251709,562
129,252245,251709,536
130,249958,249857,101
131,249897,249796,101
132,249858,249782,76
133,249871,249795,76
134,252314,251736,578
135,249872,249796,76
136,252272,251703,569
137,249863,249787,76
138,252346,251786,560
139,249874,249798,76
140,249863,249787,76
141,252179,251592,587
142,249938,249847,91
143,249872,249796,76
144,252165,251584,581
145,252220,251660,560
146,249955,249854,101
147,252260,251698,562
148,252133,251561,572
149,252099,251564,535
150,249956,249840,116
151,249897,249796,101
152,249864,249788,76
153,252128,251547,581
154,249945,249869,76
155,252103,251544,559
156,249862,249786,76
157,249870,249794,76
158,252044,251466,578
159,249873,249797,76
160,249867,249791,76
161,251941,251378,563
162,252013,251428,585
163,249890,249789,101
164,251947,251388,559
165,251765,251229,536
166,251851,251263,588
167,251789,251257,532
168,249891,249790,101
169,249897,249796,101
170,249934,249858,76
171,251703,251114,589
172,251696,251107,589
173,249897,249796,101
174,249942,249851,91
175,251839,251235,604
176,249858,249782,76
177,249875,249799,76
178,249921,249845,76
179,251787,251208,579
180,249868,249792,76
181,251809,251211,598
182,251889,251279,610
183,249899,249798,101
184,249853,249777,76
185,249872,249796,76
186,251846,251283,563
187,251830,251233,597
188,251650,251114,536
189,251774,251238,536
190,249967,249851,116
191,251792,251222,570
192,251650,251117,533
193,251507,250935,572
194,251488,250952,536
195,251453,250917,536
196,249893,249792,101
197,251424,250892,532
198,251532,250982,550
199,249904,249803,101
200,249887,249786,101
201,249876,249800,76
202,249923,249847,76
203,251489,250900,589
204,249864,249788,76
205,251468,250906,562
206,249950,249859,91
207,249874,249798,76
208,251475,250912,563
209,251517,250913,604
210,251504,250971,533
211,249897,249796,101
212,251462,250893,569
213,251471,250911,560
214,251516,250955,561
215,249901,249800,101
216,251427,250891,536
217,249898,249797,101
218,249941,249840,101
219,249873,249797,76
220,251488,250891,597
221,249872,249796,76
222,249949,249858,91
223,251510,250906,604
224,251520,250916,604
225,249895,249794,101
226,249918,249842,76
227,251486,250905,581
228,251375,250812,563
229,249897,249796,101
230,249951,249860,91
231,251462,250903,559
232,251227,250640,587
233,249897,249796,101
234,249927,249851,76
235,251326,250764,562
236,251355,250758,597
237,249898,249797,101
238,249947,249856,91
239,251355,250751,604
240,251310,250747,563
241,249897,249796,101
242,249927,249851,76
243,251342,250757,585
244,249856,249780,76
245,251243,250648,595
246,251382,250804,578
247,251026,250490,536
248,249895,249794,101
249,249895,249794,101
250,249927,249851,76
251,249876,249800,76
252,251303,250740,563
253,251311,250751,560
254,249946,249845,101
255,252022,251459,563
256,251820,251284,536
257,251989,251437,552
258,251896,251364,532
259,249908,249807,101
260,251920,251375,545
261,251829,251261,568
262,251778,251218,560
263,251785,251233,552
264,251753,251217,536
265,249947,249846,101
266,249882,249781,101
267,249880,249804,76
268,251805,251227,578
269,251877,251274,603
270,251634,251099,535
271,251714,251138,576
272,249909,249808,101
273,249943,249842,101
274,249851,249775,76
275,249882,249806,76
276,249887,249796,91
277,249916,249840,76
278,249872,249796,76
279,249883,249807,76
280,249872,249796,76
281,249915,249839,76
282,251664,251101,563
283,251819,251256,563
284,251802,251255,547
285,251727,251159,568
286,249893,249792,101
287,251785,251229,556
288,251835,251259,576
289,249937,249836,101
290,249889,249788,101
291,251837,251244,593
292,251778,251212,566
293,249947,249846,101
294,249889,249788,101
295,249877,249801,76
296,249868,249792,76
297,251859,251256,603
298,251649,251086,563
299,251780,251220,560
300,251665,251115,550
301,251803,251271,532
302,249889,249788,101
303,249902,249801,101
304,249877,249801,76
305,251860,251264,596
306,251828,251224,604
307,249908,249807,101
308,251782,251204,578
309,249944,249843,101
310,249866,249790,76
311,249882,249806,76
312,251646,251087,559
313,251677,251088,589
314,249889,249788,101
315,251678,251074,604
316,249908,249792,116
317,249932,249856,76
318,251529,250966,563
319,251671,251074,597
320,251589,251053,536
321,249930,249829,101
322,251536,250976,560
323,251625,251073,552
324,249918,249802,116
325,251700,251129,571
326,251612,251042,570
327,249902,249801,101
328,249897,249796,101
329,251550,250991,559
330,251416,250880,536
331,251449,250916,533
332,249912,249796,116
333,249948,249847,101
334,251443,250880,563
335,251457,250921,536
336,251451,250916,535
337,251502,250970,532
338,249897,249796,101
339,251477,250907,570
340,249914,249798,116
341,251525,250949,576
342,251431,250895,536
343,251462,250927,535
344,249897,249796,101
345,249943,249842,101
346,249868,249792,76
347,251456,250893,563
348,251389,250811,578
349,249940,249839,101
350,251394,250797,597
351,249912,249811,101
352,249870,249794,76
353,251552,250955,597
354,249866,249790,76
355,251520,250923,597
356,249894,249803,91
357,251545,250948,597
358,251364,250804,560
359,251457,250921,536
360,251477,250905,572
361,249942,249841,101
362,249892,249791,101
363,249881,249805,76
364,251475,250897,578
365,249914,249838,76
366,251470,250907,563
367,249884,249808,76
368,251511,250907,604
369,249923,249847,76
370,251499,250902,597
371,251515,250918,597
372,251459,250907,552
373,251535,250965,570
374,251367,250799,568
375,249908,249807,101
376,251432,250899,533
377,251374,250838,536
378,251456,250920,536
379,249904,249803,101
380,251491,250909,582
381,249953,249852,101
382,249873,249797,76
383,249861,249785,76
384,249931,249855,76
385,252273,251710,563
386,249883,249792,91
387,252023,251430,593
388,249916,249840,76
389,252104,251509,595
390,252119,251559,560
391,249889,249788,101
392,249933,249857,76
393,249861,249785,76
394,249887,249796,91
395,252111,251530,581
396,252050,251487,563
397,252104,251545,559
398,251958,251422,536
399,249889,249788,101
400,249951,249850,101
401,252032,251437,595
402,252083,251511,572
403,251992,251432,560
404,249952,249851,101
405,249902,249801,101
406,251935,251375,560
407,249890,249789,101
408,249926,249850,76
409,251826,251263,563
410,251806,251228,578
411,251764,251228,536
412,249952,249851,101
413,251831,251261,570
414,251784,251230,554
415,251799,251229,570
416,249952,249851,101
417,251765,251220,545
418,249916,249800,116
419,249887,249786,101
420,249927,249851,76
421,251788,251225,563
422,249865,249789,76
423,249864,249788,76
424,251703,251140,563
425,249870,249794,76
426,249890,249799,91
427,251806,251225,581
428,249928,249852,76
429,251795,251231,564
430,251768,251205,563
431,249891,249790,101
432,249925,249849,76
433,251815,251227,588
434,249887,249796,91
435,251656,251093,563
436,249928,249852,76
437,251834,251241,593
438,251636,251073,563
439,249891,249790,101
440,251694,251091,603
441,251622,251086,536
442,249914,249798,116
443,251595,251062,533
444,249956,249855,101
445,249900,249799,101
446,251652,251089,563
447,249889,249788,101
448,249916,249840,76
449,249872,249796,76
450,251562,250959,603
451,249861,249785,76
452,251562,250983,579
453,251459,250896,563
454,251455,250919,536
455,249889,249788,101
456,251492,250956,536
457,251457,250924,533
458,251458,250908,550
459,251457,250885,572
460,251507,250972,535
461,251409,250877,532
462,251486,250918,568
463,249889,249788,101
464,251383,250847,536
465,251449,250897,552
466,249914,249798,116
467,249889,249788,101
468,251549,250962,587
469,249884,249783,101
470,249872,249796,76
471,251476,250913,563
472,249927,249851,76
473,251503,250915,588
474,249878,249787,91
475,251506,250918,588
476,249923,249847,76
477,251449,250886,563
478,249876,249800,76
479,249862,249786,76
480,249929,249853,76
481,251494,250907,587
482,249883,249792,91
483,249865,249789,76
484,249927,249851,76
485,249870,249794,76
486,251516,250919,597
487,249860,249784,76
488,249927,249851,76
489,251511,250930,581
490,249881,249790,91
491,251500,250897,603
492,249925,249849,76
493,249872,249796,76
494,249875,249799,76
495,249853,249777,76
496,249929,249853,76
497,251478,250915,563
498,251487,250910,577
499,251476,250904,572
500,249942,249841,101
501,249897,249796,101
502,249872,249796,76
503,251448,250888,560
504,251435,250872,563
505,249897,249796,101
506,251330,250752,578
507,249889,249788,101
508,252233,251670,563
509,249894,249793,101
510,249875,249799,76
511,249871,249834,37
