bit_position,bit_interval,receiver_interval,sender_interval
0,249774,249607,167
1,249728,249617,111
2,249605,249529,76
3,249631,249555,76
4,249644,249568,76
5,249647,249571,76
6,249620,249544,76
7,252158,251459,699
8,252118,251480,638
9,249678,249577,101
10,251885,251322,563
11,249664,249563,101
12,249644,249568,76
13,249652,249576,76
14,252036,251473,563
15,252035,251432,603
16,249690,249574,116
17,249652,249576,76
18,252044,251449,595
19,252034,251471,563
20,249667,249566,101
21,251966,251378,588
22,249644,249543,101
23,251907,251344,563
24,249686,249570,116
25,249652,249576,76
26,249614,249538,76
27,252063,251484,579
28,252033,251470,563
29,251753,251217,536
30,249647,249546,101
31,249647,249546,101
32,249662,249571,91
33,249652,249576,76
34,251866,251277,589
35,251907,251310,597
36,251760,251225,535
37,251752,251220,532
38,249643,249542,101
39,249651,249550,101
40,249662,249571,91
41,249647,249571,76
42,251797,251238,559
43,251850,251287,563
44,249662,249561,101
45,249651,249575,76
46,251873,251310,563
47,251912,251308,604
48,251654,251107,547
49,251877,251309,568
50,249644,249543,101
51,249656,249555,101
52,249639,249563,76
53,251932,251343,589
54,249626,249550,76
55,249631,249555,76
56,249661,249570,91
57,251880,251317,563
58,249619,249543,76
59,251740,251161,579
60,249644,249568,76
61,251737,251170,567
62,251733,251146,587
63,251581,251041,540
64,251691,251144,547
65,251694,251158,536
66,249647,249546,101
67,249654,249553,101
68,249644,249568,76
69,251627,251064,563
70,251584,251021,563
71,251575,251039,536
72,251710,251142,568
73,251501,250956,545
74,249645,249544,101
75,249652,249551,101
76,249644,249568,76
77,249652,249576,76
78,251572,251009,563
79,249633,249557,76
80,251734,251156,578
81,251752,251183,569
82,249649,249548,101
83,251693,251130,563
84,249670,249569,101
85,249652,249576,76
86,251683,251120,563
87,249639,249563,76
88,251726,251149,577
89,251756,251169,587
90,251733,251163,570
91,249645,249544,101
92,249669,249568,101
93,251504,250944,560
94,249643,249542,101
95,249634,249558,76
96,249654,249563,91
97,249649,249573,76
98,251693,251130,563
99,251713,251151,562
100,249672,249571,101
101,249653,249577,76
102,249618,249542,76
103,251712,251152,560
104,249648,249557,91
105,251795,251198,597
106,249622,249546,76
107,249631,249555,76
108,249649,249573,76
109,251712,251148,564
110,251590,251028,562
111,249654,249553,101
112,249650,249559,91
113,249655,249579,76
114,249617,249541,76
115,249632,249556,76
116,249642,249566,76
117,249641,249565,76
118,251724,251155,569
119,251763,251175,588
120,251865,251281,584
121,251841,251306,535
122,249776,249675,101
123,249764,249663,101
124,249779,249703,76
125,249784,249708,76
126,251826,251262,564
127,249653,249577,76
128,249647,249571,76
129,249656,249580,76
130,249644,249568,76
131,249597,249521,76
132,249652,249576,76
133,249641,249565,76
134,249661,249570,91
135,252015,251452,563
136,252106,251503,603
137,252056,251488,568
138,252025,251469,556
139,251883,251323,560
140,249673,249572,101
141,252035,251500,535
142,249687,249571,116
143,251695,251159,536
144,251869,251333,536
145,249675,249574,101
146,249658,249557,101
147,251603,251005,598
148,249677,249576,101
149,249656,249580,76
150,251581,251006,575
151,251372,250809,563
152,251408,250852,556
153,249677,249576,101
154,249666,249565,101
155,251375,250772,603
156,251396,250860,536
157,249677,249576,101
158,249686,249570,116
159,251362,250781,581
160,249678,249577,101
161,251411,250851,560
162,249669,249568,101
163,249601,249525,76
164,251453,250849,604
165,249652,249576,76
166,249659,249568,91
167,249588,249512,76
168,249657,249581,76
169,249652,249576,76
170,249643,249567,76
171,251248,250689,559
172,251441,250837,604
173,249686,249585,101
174,249659,249568,91
175,251342,250782,560
176,249658,249582,76
177,251178,250616,562
178,251409,250846,563
179,251256,250688,568
180,249666,249565,101
181,251427,250859,568
182,251374,250824,550
183,251348,250787,561
184,251293,250758,535
185,249671,249570,101
186,251379,250846,533
187,249622,249521,101
188,251391,250855,536
189,249681,249580,101
190,251367,250817,550
191,251254,250684,570
192,249688,249587,101
193,249666,249565,101
194,251417,250858,559
195,251376,250800,576
196,251439,250863,576
197,249681,249580,101
198,249678,249562,116
199,249597,249521,76
200,249652,249576,76
201,251395,250832,563
202,249648,249572,76
203,251248,250661,587
204,251327,250732,595
205,251375,250839,536
206,251397,250847,550
207,249623,249522,101
208,251222,250686,536
209,251228,250692,536
210,249672,249571,101
211,251169,250633,536
212,249677,249576,101
213,249677,249576,101
214,251240,250665,575
215,249624,249523,101
216,251285,250706,579
217,251259,250689,570
218,249673,249572,101
219,249611,249510,101
220,249654,249578,76
221,249652,249576,76
222,249657,249566,91
223,249601,249525,76
224,249650,249574,76
225,251289,250702,587
226,249644,249568,76
227,251179,250616,563
228,251229,250666,563
229,251084,250548,536
230,251068,250518,550
231,249625,249524,101
232,251060,250524,536
233,249677,249576,101
234,249669,249568,101
235,250887,250324,563
236,249679,249578,101
237,250935,250376,559
238,249684,249568,116
239,250884,250321,563
240,250889,250353,536
241,249678,249577,101
242,249669,249568,101
243,249597,249521,76
244,249666,249590,76
245,249646,249570,76
246,250977,250365,612
247,249597,249521,76
248,249643,249567,76
249,249652,249576,76
250,249644,249568,76
251,250867,250308,559
252,250922,250359,563
253,250907,250375,532
254,252058,251522,536
255,252020,251488,532
256,252042,251482,560
257,251801,251268,533
258,249633,249532,101
259,251727,251191,536
260,249681,249565,116
261,249669,249568,101
262,249608,249532,76
263,249653,249577,76
264,251693,251130,563
265,251743,251139,604
266,251569,251033,536
267,251540,250988,552
268,249685,249569,116
269,251416,250858,558
270,251343,250807,536
271,251366,250831,535
272,251227,250692,535
273,249670,249569,101
274,251351,250815,536
275,249677,249576,101
276,249684,249568,116
277,249633,249557,76
278,251367,250804,563
279,251404,250825,579
280,249661,249560,101
281,249650,249574,76
282,251359,250796,563
283,249652,249576,76
284,249652,249561,91
285,249633,249557,76
286,251366,250803,563
287,249652,249576,76
288,251153,250574,579
289,251252,250693,559
290,249627,249526,101
291,251241,250678,563
292,251221,250671,550
293,251245,250677,568
294,249637,249536,101
295,251259,250707,552
296,251251,250695,556
297,249671,249570,101
298,251190,250645,545
299,251060,250528,532
300,249681,249565,116
301,250941,250405,536
302,251047,250487,560
303,249667,249566,101
304,249666,249565,101
305,251110,250523,587
306,251016,250480,536
307,249687,249586,101
308,249681,249565,116
309,251087,250524,563
310,250768,250233,535
311,249666,249565,101
312,251054,250518,536
313,249669,249568,101
314,251014,250478,536
315,249679,249578,101
316,249679,249563,116
317,251060,250497,563
318,250901,250365,536
319,251057,250521,536
320,251072,250536,536
321,249671,249570,101
322,249629,249528,101
323,249656,249580,76
324,251127,250524,603
325,249644,249568,76
326,249608,249532,76
327,250975,250412,563
328,251074,250511,563
329,250955,250419,536
330,250848,250315,533
331,249688,249587,101
332,250953,250365,588
333,250927,250373,554
334,249633,249532,101
335,250937,250367,570
336,250906,250370,536
337,249665,249564,101
338,250872,250336,536
339,250897,250364,533
340,249676,249560,116
341,250784,250248,536
342,250898,250330,568
343,249677,249576,101
344,249669,249568,101
345,249633,249557,76
346,250893,250330,563
347,249652,249576,76
348,249651,249560,91
349,250943,250376,567
350,249600,249524,76
351,250949,250354,595
352,249641,249565,76
353,249633,249557,76
354,250952,250349,603
355,249646,249570,76
356,250974,250356,618
357,250857,250270,587
358,250872,250302,570
359,250916,250380,536
360,250927,250351,576
361,250929,250359,570
362,250870,250334,536
363,250906,250370,536
364,250943,250359,584
365,249671,249570,101
366,250737,250201,536
367,249678,249577,101
368,249666,249565,101
369,249642,249566,76
370,249611,249535,76
371,250911,250348,563
372,249656,249565,91
373,249644,249568,76
374,249595,249519,76
375,249656,249580,76
376,250850,250253,597
377,249644,249568,76
378,249612,249536,76
379,249641,249565,76
380,250924,250346,578
381,252065,251502,563
382,249669,249568,101
383,249652,249576,76
384,251970,251367,603
385,251997,251418,579
386,249696,249580,116
387,252092,251504,588
388,249669,249568,101
389,251875,251316,559
390,249666,249565,101
391,249653,249577,76
392,249644,249568,76
393,252024,251461,563
394,252095,251483,612
395,252028,251478,550
396,249669,249568,101
397,249622,249521,101
398,249643,249567,76
399,249652,249576,76
400,251933,251338,595
401,249597,249521,76
402,249671,249580,91
403,251934,251349,585
404,249641,249565,76
405,251851,251254,597
406,251851,251291,560
407,249681,249580,101
408,249644,249568,76
409,249597,249521,76
410,249667,249576,91
411,251901,251322,579
412,251921,251324,597
413,251719,251183,536
414,251865,251333,532
415,249680,249579,101
416,249663,249562,101
417,251759,251171,588
418,249688,249572,116
419,249647,249571,76
420,251919,251315,604
421,251832,251273,559
422,251733,251189,544
423,251752,251176,576
424,251590,251051,539
425,251694,251134,560
426,251741,251153,588
427,249681,249580,101
428,249674,249573,101
429,251443,250880,563
430,249677,249576,101
431,251595,251033,562
432,251590,251054,536
433,249625,249524,101
434,249691,249575,116
435,249652,249576,76
436,249646,249570,76
437,249586,249510,76
438,249653,249577,76
439,251395,250832,563
440,251410,250850,560
441,251178,250642,536
442,251263,250713,550
443,249677,249576,101
444,249669,249568,101
445,249588,249512,76
446,251455,250858,597
447,251406,250842,564
448,249668,249567,101
449,249600,249524,76
450,249656,249565,91
451,249661,249585,76
452,249644,249568,76
453,249592,249516,76
454,249658,249582,76
455,251430,250867,563
456,251408,250849,559
457,251319,250786,533
458,249681,249565,116
459,251264,250728,536
460,251393,250857,536
461,251312,250780,532
462,251288,250728,560
463,249671,249570,101
464,249669,249568,101
465,251338,250775,563
466,249687,249571,116
467,249656,249580,76
468,249644,249568,76
469,251366,250779,587
470,249663,249587,76
471,251406,250843,563
472,251440,250845,595
473,251330,250794,536
474,249692,249576,116
475,249681,249580,101
476,249638,249562,76
477,251269,250690,579
478,249652,249576,76
479,251403,250840,563
480,249648,249572,76
481,249597,249521,76
482,249667,249576,91
483,251488,250704,784
484,249633,249557,76
485,249598,249522,76
486,249652,249576,76
487,251329,250732,597
488,249647,249571,76
489,251353,250790,563
490,251349,250761,588
491,251208,250672,536
492,249660,249559,101
493,251180,250643,537
494,249673,249572,101
495,249677,249576,101
496,251152,250565,587
497,249611,249510,101
498,249669,249578,91
499,249652,249576,76
500,249642,249566,76
501,249601,249525,76
502,249650,249574,76
503,249661,249585,76
504,251080,250517,563
505,249586,249510,76
506,249669,249578,91
507,249652,249576,76
508,249663,249587,76
509,249647,249571,76
510,251773,251210,563
511,249608,249571,37
