bit_position,bit_interval,receiver_interval,sender_interval
0,252173,251432,741
1,249893,249782,111
2,252020,251484,536
3,249852,249751,101
4,249830,249729,101
5,249846,249770,76
6,252108,251533,575
7,251963,251404,559
8,251826,251244,582
9,249843,249742,101
10,251794,251224,570
11,251741,251181,560
12,249834,249733,101
13,249876,249775,101
14,249844,249768,76
15,251737,251156,581
16,251750,251175,575
17,251711,251175,536
18,251595,251060,535
19,249844,249743,101
20,251690,251154,536
21,251727,251191,536
22,249864,249763,101
23,251703,251167,536
24,249851,249735,116
25,249842,249741,101
26,251576,251017,559
27,249845,249744,101
28,251567,250974,593
29,249876,249775,101
30,249844,249768,76
31,251551,250988,563
32,249827,249736,91
33,249817,249741,76
34,249817,249741,76
35,251586,251023,563
36,251591,250996,595
37,249879,249778,101
38,249848,249772,76
39,249810,249734,76
40,249829,249738,91
41,251596,251008,588
42,251571,251008,563
43,251545,251012,533
44,249823,249722,101
45,251645,251069,576
46,251567,251031,536
47,249842,249741,101
48,251575,251029,546
49,249834,249733,101
50,249841,249740,101
51,251570,250995,575
52,251570,251013,557
53,249880,249779,101
54,249859,249758,101
55,251588,251011,577
56,251570,251020,550
57,249831,249730,101
58,251564,250994,570
59,249842,249741,101
60,251581,251009,572
61,249885,249784,101
62,251596,251024,572
63,251543,251007,536
64,249851,249735,116
65,251460,250892,568
66,249842,249741,101
67,249840,249739,101
68,251452,250893,559
69,249878,249777,101
70,249827,249751,76
71,251622,251025,597
72,249826,249735,91
73,251572,251009,563
74,251457,250869,588
75,249838,249737,101
76,249813,249737,76
77,251443,250880,563
78,249823,249747,76
79,251310,250747,563
80,251411,250833,578
81,249842,249741,101
82,249821,249745,76
83,249806,249730,76
84,251428,250865,563
85,251459,250896,563
86,249858,249757,101
87,249821,249745,76
88,251388,250813,575
89,249817,249741,76
90,249817,249741,76
91,249806,249730,76
92,249811,249735,76
93,249851,249775,76
94,249838,249762,76
95,249821,249745,76
96,249824,249733,91
97,249814,249738,76
98,251446,250851,595
99,251404,250841,563
100,251424,250872,552
101,249871,249770,101
102,249863,249762,101
103,251436,250873,563
104,251397,250847,550
105,249843,249742,101
106,249842,249741,101
107,249821,249745,76
108,251411,250849,562
109,249841,249765,76
110,251432,250872,560
111,249822,249746,76
112,249813,249722,91
113,251461,250857,604
114,249816,249740,76
115,251303,250746,557
116,249811,249735,76
117,251485,250888,597
118,251298,250735,563
119,249846,249745,101
120,251148,250570,578
121,249846,249745,101
122,251292,250697,595
123,251130,250594,536
124,249834,249733,101
125,251269,250734,535
126,249864,249763,101
127,252113,251577,536
128,252226,251672,554
129,249829,249728,101
130,251890,251336,554
131,249836,249735,101
132,249846,249745,101
133,249809,249733,76
134,252039,251385,654
135,252068,251505,563
136,249842,249741,101
137,252071,251488,583
138,249844,249743,101
139,252044,251441,603
140,249852,249751,101
141,251936,251357,579
142,252003,251437,566
143,249846,249745,101
144,252068,251512,556
145,249830,249729,101
146,252015,251479,536
147,251917,251357,560
148,249844,249743,101
149,249834,249733,101
150,249887,249796,91
151,252003,251400,603
152,252097,251494,603
153,249834,249733,101
154,249817,249741,76
155,249812,249736,76
156,252073,251513,560
157,249807,249731,76
158,252155,251553,602
159,251966,251378,588
160,249831,249730,101
161,249811,249735,76
162,249817,249741,76
163,252063,251472,591
164,252052,251488,564
165,251742,251206,536
166,251947,251373,574
167,251724,251188,536
168,249833,249732,101
169,249837,249736,101
170,249817,249741,76
171,251672,251075,597
172,249820,249744,76
173,251546,250983,563
174,251699,251080,619
175,251585,251049,536
176,249835,249734,101
177,249839,249738,101
178,251408,250848,560
179,251292,250756,536
180,251397,250864,533
181,251384,250848,536
182,251508,250918,590
183,251430,250854,576
184,251392,250856,536
185,249836,249735,101
186,251234,250698,536
187,249841,249740,101
188,249842,249741,101
189,251387,250824,563
190,251464,250914,550
191,249838,249737,101
192,251383,250847,536
193,249836,249735,101
194,251254,250718,536
195,251386,250851,535
196,249842,249741,101
197,251397,250861,536
198,251483,250936,547
199,251260,250688,572
200,251227,250691,536
201,249836,249735,101
202,251205,250669,536
203,251249,250713,536
204,249840,249739,101
205,251239,250703,536
206,249914,249798,116
207,249831,249730,101
208,251235,250672,563
209,249836,249735,101
210,249815,249739,76
211,251315,250711,604
212,249813,249737,76
213,249813,249737,76
214,249885,249794,91
215,251250,250687,563
216,249819,249743,76
217,251259,250700,559
218,249817,249741,76
219,249821,249745,76
220,251127,250530,597
221,251229,250666,563
222,249912,249796,116
223,251132,250570,562
224,249846,249745,101
225,249805,249729,76
226,251265,250706,559
227,251298,250694,604
228,249831,249730,101
229,249811,249735,76
230,249887,249796,91
231,251273,250685,588
232,251308,250705,603
233,251210,250673,537
234,249839,249738,101
235,249842,249741,101
236,249814,249738,76
237,249818,249742,76
238,251328,250750,578
239,251162,250599,563
240,249844,249743,101
241,251234,250674,560
242,251241,250673,568
243,251085,250549,536
244,251122,250546,576
245,249837,249736,101
246,249902,249786,116
247,249817,249741,76
248,251100,250537,563
249,249798,249722,76
250,250987,250427,560
251,249816,249740,76
252,251017,250420,597
253,249811,249735,76
254,252003,251440,563
255,249824,249748,76
256,251968,251405,563
257,251924,251365,559
258,249842,249741,101
259,252086,251493,593
260,252038,251474,564
261,252106,251554,552
262,249840,249739,101
263,249853,249752,101
264,249811,249735,76
265,251928,251365,563
266,249816,249740,76
267,251795,251232,563
268,249824,249733,91
269,249866,249790,76
270,249815,249739,76
271,252071,251509,562
272,249810,249734,76
273,251950,251387,563
274,252084,251515,569
275,252026,251491,535
276,249851,249735,116
277,249895,249794,101
278,251886,251314,572
279,249853,249752,101
280,249809,249733,76
281,249812,249736,76
282,251806,251247,559
283,251597,251000,597
284,251611,251027,584
285,249884,249783,101
286,251357,250821,536
287,249854,249753,101
288,249840,249739,101
289,249815,249739,76
290,251451,250848,603
291,249811,249735,76
292,251438,250819,619
293,251439,250876,563
294,249837,249736,101
295,249832,249756,76
296,249809,249733,76
297,251420,250857,563
298,251447,250859,588
299,251392,250856,536
300,249850,249734,116
301,251240,250672,568
302,249842,249741,101
303,251403,250867,536
304,251386,250854,532
305,251415,250847,568
306,249842,249741,101
307,249835,249734,101
308,251474,250863,611
309,249882,249781,101
310,251409,250846,563
311,251414,250878,536
312,249829,249728,101
313,249839,249738,101
314,251264,250701,563
315,251105,250533,572
316,251076,250526,550
317,249884,249783,101
318,251084,250532,552
319,251086,250550,536
320,251101,250529,572
321,249840,249739,101
322,249842,249741,101
323,249821,249745,76
324,251126,250548,578
325,249846,249770,76
326,251093,250530,563
327,249828,249752,76
328,251088,250525,563
329,249821,249745,76
330,251104,250544,560
331,249821,249745,76
332,251098,250521,577
333,249850,249774,76
334,249819,249743,76
335,251113,250550,563
336,249809,249733,76
337,250934,250371,563
338,250717,250154,563
339,250903,250367,536
340,249849,249733,116
341,249881,249780,101
342,250955,250392,563
343,249858,249757,101
344,249805,249729,76
345,249818,249742,76
346,249808,249732,76
347,250935,250372,563
348,250946,250368,578
349,250958,250422,536
350,249847,249746,101
351,249847,249746,101
352,250817,250213,604
353,250757,250221,536
354,250750,250214,536
355,249842,249741,101
356,250770,250220,550
357,250842,250270,572
358,249847,249746,101
359,250730,250198,532
360,250642,250107,535
361,250747,250211,536
362,249842,249741,101
363,249846,249745,101
364,249822,249731,91
365,249861,249785,76
366,249819,249743,76
367,249808,249732,76
368,249821,249745,76
369,250786,250223,563
370,250723,250119,604
371,249845,249744,101
372,250784,250206,578
373,250802,250266,536
374,249842,249741,101
375,249837,249736,101
376,249826,249750,76
377,250772,250209,563
378,249827,249751,76
379,250687,250094,593
380,250781,250203,578
381,249894,249793,101
382,249806,249730,76
383,249817,249741,76
384,249817,249741,76
385,249815,249739,76
386,249835,249744,91
387,249811,249735,76
388,249861,249785,76
389,249809,249733,76
390,252199,251636,563
391,252222,251650,572
392,252179,251643,536
393,249851,249750,101
394,252201,251651,550
395,249831,249730,101
396,249888,249787,101
397,249815,249739,76
398,249808,249732,76
399,252120,251560,560
400,252130,251555,575
401,249845,249744,101
402,252269,251657,612
403,252072,251520,552
404,252239,251706,533
405,252215,251643,572
406,249840,249739,101
407,249846,249745,101
408,249810,249734,76
409,249818,249742,76
410,249828,249737,91
411,252229,251664,565
412,249865,249789,76
413,249807,249731,76
414,252222,251627,595
415,249818,249742,76
416,249810,249734,76
417,252108,251539,569
418,249832,249741,91
419,252105,251543,562
420,249868,249792,76
421,249803,249727,76
422,249815,249739,76
423,252208,251646,562
424,252124,251544,580
425,252188,251652,536
426,252103,251519,584
427,252177,251641,536
428,249899,249798,101
429,249821,249720,101
430,252164,251560,604
431,252095,251541,554
432,252000,251468,532
433,249846,249745,101
434,252050,251500,550
435,249842,249741,101
436,249888,249787,101
437,249798,249722,76
438,251977,251390,587
439,249819,249743,76
440,251988,251409,579
441,249822,249746,76
442,249824,249733,91
443,252078,251499,579
444,249859,249783,76
445,252080,251485,595
446,249821,249745,76
447,249815,249739,76
448,249817,249741,76
449,249822,249746,76
450,249821,249730,91
451,252090,251502,588
452,252163,251559,604
453,249834,249733,101
454,249820,249744,76
455,249815,249739,76
456,249817,249741,76
457,249820,249744,76
458,249823,249732,91
459,252058,251495,563
460,252104,251541,563
461,249834,249733,101
462,252064,251501,563
463,249841,249740,101
464,251880,251320,560
465,249845,249744,101
466,249834,249743,91
467,249829,249753,76
468,252064,251501,563
469,249809,249733,76
470,249817,249741,76
471,252094,251490,604
472,251900,251340,560
473,249845,249744,101
474,249832,249741,91
475,251945,251342,603
476,249850,249774,76
477,249810,249734,76
478,249818,249742,76
479,249810,249734,76
480,249821,249745,76
481,249816,249740,76
482,251936,251336,600
483,251814,251210,604
484,249873,249772,101
485,249812,249736,76
486,249823,249747,76
487,249815,249739,76
488,249820,249744,76
489,249816,249740,76
490,251813,251235,578
491,251878,251319,559
492,249881,249780,101
493,251899,251340,559
494,251831,251298,533
495,251902,251326,576
496,249844,249743,101
497,251867,251331,536
498,251876,251327,549
499,251760,251227,533
500,251796,251256,540
501,249844,249743,101
502,251897,251327,570
503,251716,251180,536
504,251679,251143,536
505,249836,249735,101
506,251735,251161,574
507,249841,249740,101
508,249889,249788,101
509,252234,251671,563
510,252021,251467,554
511,251975,251489,486
