bit_position,bit_interval,receiver_interval,sender_interval
0,252523,251782,741
1,250037,249926,111
2,252312,251776,536
3,252239,251656,583
4,252291,251755,536
5,249979,249878,101
6,252351,251799,552
7,249950,249849,101
8,252327,251749,578
9,249988,249887,101
10,249964,249863,101
11,252352,251779,573
12,252168,251592,576
13,249989,249888,101
14,252159,251623,536
15,249941,249840,101
16,252127,251581,546
17,249986,249885,101
18,252081,251521,560
19,252159,251626,533
20,249942,249841,101
21,249986,249885,101
22,249949,249873,76
23,249936,249860,76
24,252242,251623,619
25,252220,251657,563
26,252010,251474,536
27,249955,249854,101
28,249938,249837,101
29,249961,249885,76
30,252063,251484,579
31,249918,249842,76
32,249937,249846,91
33,249956,249880,76
34,249948,249872,76
35,249930,249854,76
36,251818,251255,563
37,249962,249886,76
38,251636,251039,597
39,249922,249846,76
40,251613,250995,618
41,251730,251126,604
42,251681,251146,535
43,251645,251113,532
44,251662,251102,560
45,251672,251139,533
46,251697,251141,556
47,249954,249853,101
48,249961,249845,116
49,251738,251159,579
50,249972,249871,101
51,251672,251108,564
52,249939,249838,101
53,251553,250990,563
54,251518,250982,536
55,251520,250960,560
56,249961,249845,116
57,249975,249874,101
58,249949,249873,76
59,251362,250799,563
60,249919,249843,76
61,251398,250835,563
62,249940,249864,76
63,251420,250817,603
64,251372,250794,578
65,249977,249876,101
66,251402,250840,562
67,251225,250689,536
68,251083,250547,536
69,249988,249887,101
70,249962,249861,101
71,251250,250665,585
72,251184,250634,550
73,249986,249885,101
74,249975,249874,101
75,250989,250394,595
76,249944,249843,101
77,249961,249885,76
78,251081,250484,597
79,251064,250501,563
80,251023,250476,547
81,249984,249883,101
82,251083,250513,570
83,249941,249840,101
84,249945,249844,101
85,251072,250509,563
86,249968,249867,101
87,251050,250487,563
88,249953,249837,116
89,249965,249889,76
90,251115,250511,604
91,251036,250477,559
92,251043,250475,568
93,249986,249885,101
94,251045,250508,537
95,251018,250482,536
96,250875,250325,550
97,249987,249886,101
98,249973,249872,101
99,249919,249843,76
100,250891,250332,559
101,250931,250368,563
102,250921,250345,576
103,250865,250329,536
104,249948,249832,116
105,250906,250370,536
106,249993,249892,101
107,249952,249851,101
108,249924,249848,76
109,250798,250235,563
110,249948,249872,76
111,250899,250336,563
112,249925,249834,91
113,250942,250379,563
114,249947,249871,76
115,250892,250330,562
116,250934,250330,604
117,249976,249875,101
118,250757,250194,563
119,250634,250064,570
120,250716,250166,550
121,249990,249889,101
122,249971,249870,101
123,250729,250166,563
124,249944,249843,101
125,250754,250191,563
126,249972,249871,101
127,249983,249907,76
128,252358,251754,604
129,249908,249832,76
130,252268,251696,572
131,252295,251732,563
132,252149,251589,560
133,249941,249840,101
134,252219,251670,549
135,251965,251433,532
136,251994,251458,536
137,251958,251422,536
138,250010,249909,101
139,251885,251349,536
140,249954,249853,101
141,251997,251421,576
142,251938,251388,550
143,251958,251423,535
144,249956,249855,101
145,251975,251439,536
146,250011,249910,101
147,249947,249846,101
148,249927,249851,76
149,249921,249845,76
150,249986,249895,91
151,252023,251434,589
152,252004,251440,564
153,249944,249843,101
154,249979,249903,76
155,249919,249843,76
156,249927,249851,76
157,249918,249842,76
158,249988,249897,91
159,252064,251460,604
160,249925,249849,76
161,249931,249855,76
162,252061,251498,563
163,249916,249840,76
164,249933,249857,76
165,249919,249843,76
166,252092,251498,594
167,251980,251417,563
168,249956,249855,101
169,249919,249843,76
170,252076,251514,562
171,251864,251301,563
172,249954,249853,101
173,251880,251285,595
174,251925,251337,588
175,249964,249863,101
176,249941,249840,101
177,249920,249844,76
178,251930,251345,585
179,249922,249846,76
180,249931,249855,76
181,249913,249837,76
182,251903,251325,578
183,249927,249851,76
184,251752,251167,585
185,249923,249847,76
186,249982,249906,76
187,251850,251290,560
188,251743,251155,588
189,251873,251297,576
190,250023,249907,116
191,249952,249851,101
192,251826,251263,563
193,251853,251297,556
194,251898,251337,561
195,251836,251284,552
196,249954,249853,101
197,249933,249832,101
198,249998,249907,91
199,249947,249871,76
200,249927,249851,76
201,251750,251191,559
202,249975,249899,76
203,251843,251284,559
204,251857,251294,563
205,249935,249834,101
206,251930,251352,578
207,249951,249850,101
208,251850,251287,563
209,251775,251239,536
210,249997,249896,101
211,249953,249852,101
212,249927,249851,76
213,251705,251124,581
214,251930,251352,578
215,251848,251272,576
216,249946,249845,101
217,251867,251295,572
218,251810,251240,570
219,251838,251278,560
220,249960,249859,101
221,249944,249843,101
222,251915,251337,578
223,249935,249834,101
224,249927,249851,76
225,251835,251272,563
226,249975,249899,76
227,251854,251295,559
228,249925,249849,76
229,249919,249843,76
230,251933,251355,578
231,251615,251056,559
232,249953,249852,101
233,249919,249843,76
234,249982,249906,76
235,249929,249853,76
236,251837,251274,563
237,251877,251289,588
238,250022,249906,116
239,249922,249846,76
240,249930,249854,76
241,249919,249843,76
242,251740,251177,563
243,251717,251138,579
244,251670,251134,536
245,251634,251101,533
246,251743,251169,574
247,249957,249856,101
248,249956,249855,101
249,251576,251016,560
250,251687,251151,536
251,251699,251123,576
252,251650,251114,536
253,251540,251005,535
254,249989,249888,101
255,249938,249862,76
256,252228,251665,563
257,249956,249880,76
258,249934,249858,76
259,252274,251671,603
260,249942,249851,91
261,249965,249889,76
262,251975,251410,565
263,249942,249866,76
264,249927,249851,76
265,252295,251692,603
266,249929,249853,76
267,252186,251582,604
268,252211,251621,590
269,249988,249887,101
270,252150,251587,563
271,249964,249863,101
272,252194,251597,597
273,249988,249887,101
274,249928,249852,76
275,249949,249873,76
276,249944,249853,91
277,252205,251618,587
278,252037,251433,604
279,252008,251463,545
280,249941,249840,101
281,249988,249887,101
282,249939,249863,76
283,252014,251442,572
284,249946,249855,91
285,252058,251498,560
286,249927,249851,76
287,252018,251455,563
288,252001,251420,581
289,252040,251500,540
290,249952,249851,101
291,251987,251443,544
292,249964,249848,116
293,249982,249881,101
294,252004,251442,562
295,251809,251241,568
296,252294,251722,572
297,252332,251762,570
298,250248,250147,101
299,252181,251605,576
300,252190,251608,582
301,252311,251741,570
302,250249,250148,101
303,250237,250136,101
304,252279,251716,563
305,252191,251655,536
306,252115,251579,536
307,252087,251535,552
308,252077,251531,546
309,250247,250146,101
310,250252,250151,101
311,250208,250132,76
312,251960,251397,563
313,250240,250164,76
314,251972,251409,563
315,250209,250133,76
316,250213,250122,91
317,251774,251171,603
318,250228,250152,76
319,250206,250130,76
320,250217,250141,76
321,252003,251440,563
322,251933,251370,563
323,250239,250138,101
324,250211,250120,91
325,251928,251333,595
326,251996,251434,562
327,250233,250132,101
328,251958,251399,559
329,250258,250157,101
330,250210,250134,76
331,251868,251305,563
332,250214,250123,91
333,250233,250157,76
334,250226,250150,76
335,250198,250122,76
336,251845,251282,563
337,251991,251412,579
338,251828,251271,557
339,250235,250134,101
340,250231,250115,116
341,251837,251278,559
342,250249,250148,101
343,251835,251232,603
344,250226,250125,101
345,251830,251270,560
346,250249,250148,101
347,250210,250134,76
348,250205,250114,91
349,250234,250158,76
350,251792,251229,563
351,250208,250132,76
352,251805,251242,563
353,250229,250153,76
354,250224,250148,76
355,250208,250132,76
356,251849,251231,618
357,250235,250159,76
358,251710,251147,563
359,250204,250128,76
360,250200,250124,76
361,250228,250152,76
362,250224,250148,76
363,251818,251255,563
364,251812,251234,578
365,251820,251285,535
366,251801,251265,536
367,251798,251262,536
368,251761,251229,532
369,251777,251245,532
370,251805,251269,536
371,251770,251234,536
372,251781,251231,550
373,250263,250162,101
374,250243,250142,101
375,250202,250126,76
376,250197,250121,76
377,251842,251279,563
378,251809,251246,563
379,251836,251260,576
380,251636,251090,546
381,250007,249906,101
382,252311,251748,563
383,249937,249836,101
384,252409,251830,579
385,249952,249851,101
386,252336,251750,586
387,252299,251761,538
388,250005,249904,101
389,252321,251785,536
390,252286,251754,532
391,252277,251725,552
392,250008,249907,101
393,252336,251799,537
394,249967,249851,116
395,252285,251750,535
396,252239,251707,532
397,252305,251769,536
398,249952,249851,101
399,249939,249838,101
400,249998,249922,76
401,252211,251652,559
402,252362,251754,608
403,252302,251766,536
404,249996,249895,101
405,252133,251563,570
406,252301,251765,536
407,249939,249838,101
408,252385,251815,570
409,249946,249845,101
410,252327,251761,566
411,252293,251761,532
412,252108,251538,570
413,252315,251755,560
414,249960,249859,101
415,249944,249843,101
416,249984,249908,76
417,249910,249834,76
418,249942,249851,91
419,252312,251750,562
420,252377,251814,563
421,249958,249857,101
422,252316,251757,559
423,249944,249843,101
424,252286,251723,563
425,251965,251433,532
426,251999,251449,550
427,252001,251429,572
428,252031,251495,536
429,249956,249855,101
430,249941,249840,101
431,249916,249840,76
432,249982,249906,76
433,251842,251282,560
434,249945,249854,91
435,251845,251283,562
436,249982,249906,76
437,249928,249852,76
438,249936,249860,76
439,249921,249845,76
440,249982,249906,76
441,251878,251275,603
442,251874,251296,578
443,249938,249837,101
444,251815,251248,567
445,249960,249859,101
446,251747,251159,588
447,251848,251280,568
448,251711,251175,536
449,249952,249851,101
450,249970,249854,116
451,251653,251093,560
452,250008,249907,101
453,249927,249851,76
454,249922,249846,76
455,251560,250997,563
456,251746,251183,563
457,249952,249851,101
458,249940,249849,91
459,249916,249840,76
460,249985,249909,76
461,251674,251111,563
462,251722,251119,603
463,249946,249845,101
464,249974,249898,76
465,251693,251130,563
466,251592,251014,578
467,249939,249838,101
468,251582,251020,562
469,249947,249846,101
470,249927,249851,76
471,251456,250875,581
472,251583,251020,563
473,251529,250979,550
474,249967,249851,116
475,251513,250957,556
476,250004,249903,101
477,251493,250957,536
478,251538,250978,560
479,251482,250946,536
480,249998,249897,101
481,249956,249855,101
482,249940,249849,91
483,249931,249855,76
484,249984,249908,76
485,249916,249840,76
486,249933,249857,76
487,251527,250964,563
488,251605,251018,587
489,251525,250988,537
490,251579,250989,590
491,251370,250838,532
492,250007,249906,101
493,249937,249836,101
494,249929,249853,76
495,249919,249843,76
496,251321,250760,561
497,251381,250821,560
498,251263,250679,584
499,249945,249844,101
500,249999,249898,101
501,251339,250776,563
502,251342,250806,536
503,251301,250765,536
504,250011,249910,101
505,251128,250592,536
506,249956,249840,116
507,251354,250818,536
508,252360,251825,535
509,252333,251776,557
510,249939,249838,101
511,252341,251839,502
