bit_position,bit_interval,receiver_interval,sender_interval
0,250032,249291,741
1,247599,247488,111
2,247559,247458,101
3,247545,247469,76
4,247536,247460,76
5,247540,247464,76
6,249804,249241,563
7,249839,249260,579
8,249774,249194,580
9,249511,248975,536
10,247560,247459,101
11,247572,247471,101
12,249543,248956,587
13,247569,247468,101
14,249573,248970,603
15,249637,249067,570
16,249492,248942,550
17,249603,249067,536
18,249488,248950,538
19,249505,248970,535
20,247559,247458,101
21,249624,249089,535
22,249614,249078,536
23,247558,247457,101
24,249665,249115,550
25,247570,247469,101
26,249620,249085,535
27,249515,248959,556
28,249499,248943,556
29,247569,247468,101
30,247569,247468,101
31,247536,247460,76
32,249650,249072,578
33,249529,248966,563
34,247570,247469,101
35,249630,249067,563
36,249385,248845,540
37,247571,247470,101
38,249357,248821,536
39,247564,247463,101
40,247582,247466,116
41,249383,248786,597
42,249445,248910,535
43,249460,248890,570
44,249315,248782,533
45,247572,247471,101
46,247569,247468,101
47,249288,248701,587
48,247579,247463,116
49,247536,247460,76
50,249180,248617,563
51,249190,248603,587
52,249288,248752,536
53,247574,247473,101
54,247568,247467,101
55,247544,247468,76
56,249257,248639,618
57,247534,247458,76
58,247545,247469,76
59,249316,248753,563
60,247537,247461,76
61,249217,248640,577
62,247536,247460,76
63,249343,248754,589
64,247552,247461,91
65,249336,248739,597
66,247549,247473,76
67,249343,248780,563
68,249303,248744,559
69,247572,247471,101
70,247534,247458,76
71,247545,247469,76
72,247552,247461,91
73,249208,248621,587
74,247547,247471,76
75,249237,248656,581
76,247537,247461,76
77,249346,248751,595
78,247535,247459,76
79,247547,247471,76
80,249301,248724,577
81,247544,247468,76
82,249301,248741,560
83,249183,248623,560
84,247562,247461,101
85,249181,248618,563
86,247565,247464,101
87,249296,248737,559
88,247573,247457,116
89,247545,247469,76
90,247545,247469,76
91,247533,247457,76
92,247539,247463,76
93,249384,248789,595
94,249177,248618,559
95,249289,248753,536
96,247571,247455,116
97,249304,248768,536
98,247570,247469,101
99,247565,247464,101
100,249345,248741,604
101,249187,248654,533
102,247570,247469,101
103,247572,247471,101
104,249321,248727,594
105,247571,247470,101
106,249320,248723,597
107,247569,247468,101
108,249319,248756,563
109,247564,247463,101
110,247544,247468,76
111,249166,248569,597
112,247543,247452,91
113,247547,247471,76
114,247544,247468,76
115,249351,248788,563
116,247539,247463,76
117,247534,247458,76
118,247546,247470,76
119,249339,248751,588
120,247552,247461,91
121,249170,248607,563
122,247543,247467,76
123,247544,247468,76
124,248895,248336,559
125,249055,248474,581
126,247570,247469,101
127,247557,247481,76
128,247542,247466,76
129,249940,249377,563
130,249998,249421,577
131,247570,247469,101
132,247528,247452,76
133,249866,249306,560
134,249952,249378,574
135,247570,247469,101
136,247539,247463,76
137,249720,249157,563
138,249945,249382,563
139,249926,249390,536
140,249775,249239,536
141,247574,247473,101
142,249750,249205,545
143,247569,247468,101
144,247562,247461,101
145,249631,249069,562
146,249763,249227,536
147,249777,249241,536
148,249702,249132,570
149,249786,249230,556
150,247574,247458,116
151,249745,249185,560
152,249431,248859,572
153,249528,248992,536
154,249624,249054,570
155,249594,249058,536
156,249319,248783,536
157,247570,247469,101
158,249424,248874,550
159,247570,247469,101
160,249454,248894,560
161,249330,248794,536
162,249464,248928,536
163,247564,247463,101
164,249457,248921,536
165,247570,247469,101
166,247580,247464,116
167,247549,247473,76
168,247537,247461,76
169,247545,247469,76
170,247547,247471,76
171,249303,248743,560
172,247537,247461,76
173,247545,247469,76
174,249350,248740,610
175,249277,248714,563
176,249287,248711,576
177,249163,248631,532
178,249274,248738,536
179,247561,247460,101
180,247566,247465,101
181,247545,247469,76
182,247560,247469,91
183,249299,248736,563
184,247526,247450,76
185,247545,247469,76
186,247545,247469,76
187,247545,247469,76
188,247540,247464,76
189,249331,248742,589
190,247560,247469,91
191,249314,248752,562
192,247528,247452,76
193,249328,248765,563
194,247545,247469,76
195,247545,247469,76
196,247541,247465,76
197,247534,247458,76
198,247559,247468,91
199,249341,248738,603
200,247532,247456,76
201,247549,247473,76
202,249275,248716,559
203,247545,247469,76
204,249295,248736,559
205,249316,248753,563
206,249300,248754,546
207,247570,247469,101
208,249192,248620,572
209,249287,248751,536
210,247564,247463,101
211,247569,247468,101
212,249154,248591,563
213,248946,248414,532
214,248971,248422,549
215,249005,248430,575
216,248962,248430,532
217,247571,247470,101
218,247559,247458,101
219,248887,248300,587
220,248975,248439,536
221,248886,248316,570
222,247590,247474,116
223,248850,248314,536
224,247562,247461,101
225,248983,248448,535
226,248951,248415,536
227,247572,247471,101
228,247562,247461,101
229,248973,248410,563
230,248751,248204,547
231,248936,248400,536
232,247563,247462,101
233,247570,247469,101
234,247545,247469,76
235,247549,247473,76
236,248968,248406,562
237,247545,247469,76
238,247559,247468,91
239,248989,248416,573
240,247538,247462,76
241,248982,248419,563
242,247545,247469,76
243,248871,248312,559
244,247526,247450,76
245,247545,247469,76
246,247560,247469,91
247,248965,248403,562
248,247543,247467,76
249,248980,248417,563
250,247545,247469,76
251,247544,247468,76
252,248879,248316,563
253,248972,248409,563
254,249927,249392,535
255,249804,249232,572
256,249927,249391,536
257,247574,247473,101
258,247558,247457,101
259,249936,249374,562
260,249981,249409,572
261,247558,247457,101
262,247564,247463,101
263,249927,249367,560
264,249935,249402,533
265,249967,249397,570
266,249942,249386,556
267,247570,247469,101
268,247585,247469,116
269,247540,247464,76
270,247540,247464,76
271,247544,247468,76
272,249952,249373,579
273,249935,249372,563
274,247551,247450,101
275,247546,247470,76
276,249807,249230,577
277,247544,247468,76
278,249802,249217,585
279,249575,249012,563
280,249603,249067,536
281,247570,247469,101
282,249470,248934,536
283,247572,247471,101
284,247584,247468,116
285,247545,247469,76
286,249463,248900,563
287,247534,247458,76
288,249440,248881,559
289,249385,248782,603
290,247562,247461,101
291,249449,248886,563
292,247583,247467,116
293,247544,247468,76
294,247537,247461,76
295,249501,248898,603
296,247545,247469,76
297,249503,248924,579
298,249441,248878,563
299,247573,247472,101
300,249451,248833,618
301,247570,247469,101
302,249455,248884,571
303,247565,247464,101
304,249466,248904,562
305,249309,248777,532
306,247562,247461,101
307,249446,248910,536
308,249316,248757,559
309,247570,247469,101
310,249350,248790,560
311,247570,247469,101
312,247572,247471,101
313,249445,248882,563
314,247562,247461,101
315,249494,248934,560
316,247580,247464,116
317,247549,247473,76
318,249468,248905,563
319,247545,247469,76
320,249485,248922,563
321,249326,248747,579
322,247562,247461,101
323,247545,247469,76
324,247560,247469,91
325,247549,247473,76
326,249287,248724,563
327,247545,247469,76
328,247545,247469,76
329,247536,247460,76
330,247541,247465,76
331,247545,247469,76
332,247560,247469,91
333,247547,247471,76
334,247526,247450,76
335,249300,248737,563
336,247545,247469,76
337,247545,247469,76
338,247540,247464,76
339,249311,248751,560
340,247560,247469,91
341,247545,247469,76
342,247528,247452,76
343,247547,247471,76
344,249335,248776,559
345,249327,248742,585
346,249301,248768,533
347,247559,247458,101
348,249202,248652,550
349,247570,247469,101
350,247557,247456,101
351,249354,248773,581
352,249288,248755,533
353,249079,248543,536
354,249259,248726,533
355,249210,248634,576
356,249322,248754,568
357,247570,247469,101
358,249261,248725,536
359,247573,247472,101
360,247564,247463,101
361,249302,248739,563
362,247562,247461,101
363,247540,247464,76
364,247562,247471,91
365,247545,247469,76
366,247537,247461,76
367,247546,247470,76
368,247534,247458,76
369,247546,247470,76
370,249298,248735,563
371,249305,248742,563
372,249357,248767,590
373,249282,248737,545
374,249267,248734,533
375,247569,247468,101
376,249219,248647,572
377,249305,248749,556
378,247562,247461,101
379,247570,247469,101
380,249335,248757,578
381,249952,249416,536
382,249924,249391,533
383,249917,249356,561
384,247569,247468,101
385,247569,247468,101
386,249986,249408,578
387,247572,247471,101
388,247544,247468,76
389,247545,247469,76
390,249954,249377,577
391,247536,247460,76
392,247546,247470,76
393,247545,247469,76
394,247546,247455,91
395,247549,247473,76
396,247543,247467,76
397,249965,249402,563
398,250002,249443,559
399,249815,249239,576
400,249785,249250,535
401,249747,249211,536
402,247577,247461,116
403,247573,247472,101
404,249749,249190,559
405,249765,249232,533
406,247562,247461,101
407,249721,249185,536
408,247574,247473,101
409,247568,247467,101
410,249821,249203,618
411,247572,247471,101
412,249668,249096,572
413,247570,247469,101
414,249792,249229,563
415,249663,249090,573
416,247572,247471,101
417,249588,249052,536
418,249624,249040,584
419,247570,247469,101
420,249627,249055,572
421,247572,247471,101
422,247562,247461,101
423,249508,248945,563
424,247574,247473,101
425,247534,247458,76
426,249414,248839,575
427,249659,249070,589
428,249582,249026,556
429,247574,247473,101
430,249410,248874,536
431,249349,248813,536
432,247570,247469,101
433,249455,248887,568
434,247579,247463,116
435,249434,248899,535
436,249446,248913,533
437,247573,247472,101
438,247556,247455,101
439,247545,247469,76
440,249474,248911,563
441,247540,247464,76
442,249308,248714,594
443,249322,248759,563
444,249301,248765,536
445,247572,247471,101
446,249272,248736,536
447,249215,248645,570
448,247570,247469,101
449,247569,247468,101
450,247557,247466,91
451,247539,247463,76
452,249329,248766,563
453,249323,248761,562
454,247553,247452,101
455,247547,247471,76
456,247544,247468,76
457,247545,247469,76
458,247554,247463,91
459,249335,248754,581
460,249227,248648,579
461,249276,248741,535
462,247562,247461,101
463,249319,248759,560
464,247568,247467,101
465,249304,248768,536
466,249187,248640,547
467,249145,248609,536
468,247570,247469,101
469,247570,247469,101
470,247537,247461,76
471,247548,247472,76
472,249329,248766,563
473,247545,247469,76
474,247552,247461,91
475,249305,248743,562
476,249375,248778,597
477,249312,248736,576
478,247562,247461,101
479,249329,248753,576
480,247559,247458,101
481,249310,248751,559
482,249293,248741,552
483,249183,248613,570
484,249176,248639,537
485,249296,248743,553
486,249345,248775,570
487,249287,248755,532
488,249329,248757,572
489,249198,248662,536
490,247577,247461,116
491,247570,247469,101
492,249329,248741,588
493,247559,247458,101
494,249354,248757,597
495,247570,247469,101
496,249328,248768,560
497,247574,247473,101
498,247546,247455,91
499,247545,247469,76
500,249326,248763,563
501,249158,248571,587
502,249141,248603,538
503,249133,248579,554
504,249138,248606,532
505,249112,248576,536
506,247566,247450,116
507,249163,248591,572
508,247675,247574,101
509,247551,247475,76
510,247543,247467,76
511,249769,249260,509
